id,archivo_modelo1,archivo_modelo2,bytes_modelo1,bytes_modelo2,ancho_modelo1,alto_modelo1,ancho_modelo2,alto_modelo2,modo_modelo1,modo_modelo2,sha256_modelo1,sha256_modelo2,hash_igual,misma_forma_pixeles,pixeles_iguales,mae_pixeles,max_diferencia_pixel,mismas_dimensiones,mismo_tamano_bytes
18_em_0,18_em_0_0.bmp,18_em_0.bmp,40518,40518,464,85,464,85,L,L,2f9e926c3b597d58073b65118705d422d1d991f13fb994506055cb6b05abc05f,2f9e926c3b597d58073b65118705d422d1d991f13fb994506055cb6b05abc05f,True,True,True,0.0,0,True,True
18_em_1,18_em_1_0.bmp,18_em_1.bmp,8530,8530,105,69,105,69,L,L,e493bb2b056a1abd274641892d3e3f29db67f5f5a98c87515a35f08d37fd045a,e493bb2b056a1abd274641892d3e3f29db67f5f5a98c87515a35f08d37fd045a,True,True,True,0.0,0,True,True
18_em_10,18_em_10_0.bmp,18_em_10.bmp,5334,5334,76,56,76,56,L,L,df753c715f8627ff1f9fc027b1615a5559ac2ce3701b0ea0847ce4cf0ca4f389,df753c715f8627ff1f9fc027b1615a5559ac2ce3701b0ea0847ce4cf0ca4f389,True,True,True,0.0,0,True,True
18_em_11,18_em_11_0.bmp,18_em_11.bmp,15862,15862,191,77,191,77,L,L,aa88efb50fe72dcd8e4a33c15e174ff63303e72fdace9a865358ca20d1dbe287,aa88efb50fe72dcd8e4a33c15e174ff63303e72fdace9a865358ca20d1dbe287,True,True,True,0.0,0,True,True
18_em_12,18_em_12_0.bmp,18_em_12.bmp,52286,52286,294,173,294,173,L,L,7b344bdb6e3189b183c2a98ef334a27afdddbb128d6cffc45f9b3fa1cb830d62,7b344bdb6e3189b183c2a98ef334a27afdddbb128d6cffc45f9b3fa1cb830d62,True,True,True,0.0,0,True,True
18_em_13,18_em_13_0.bmp,18_em_13.bmp,40498,40498,291,135,291,135,L,L,821c113dfb1eb5d9f85fab889fe3766b51191342dd0890d60494a3aab266e5b3,821c113dfb1eb5d9f85fab889fe3766b51191342dd0890d60494a3aab266e5b3,True,True,True,0.0,0,True,True
18_em_14,18_em_14_0.bmp,18_em_14.bmp,47590,47590,228,204,228,204,L,L,b09b381a55c6ca3b79edf7b8b985188bf1e8ef6d6e1eda712b778b8041e77d9d,b09b381a55c6ca3b79edf7b8b985188bf1e8ef6d6e1eda712b778b8041e77d9d,True,True,True,0.0,0,True,True
18_em_15,18_em_15_0.bmp,18_em_15.bmp,27286,27286,334,78,334,78,L,L,98f7e13596a577d9909d5f74b2157d2dda398a9cb95d68d8c64d36a247472f87,98f7e13596a577d9909d5f74b2157d2dda398a9cb95d68d8c64d36a247472f87,True,True,True,0.0,0,True,True
18_em_16,18_em_16_0.bmp,18_em_16.bmp,8154,8154,116,61,116,61,L,L,5346cc7add0ab010950b0ab8afee5b8fe8e6cde23b15d7852df7e6e85b615de6,5346cc7add0ab010950b0ab8afee5b8fe8e6cde23b15d7852df7e6e85b615de6,True,True,True,0.0,0,True,True
18_em_17,18_em_17_0.bmp,18_em_17.bmp,45538,45538,379,117,379,117,L,L,1b6c94a3dad14577ee5e997abb250256d039425487374800c068040db315c6d9,1b6c94a3dad14577ee5e997abb250256d039425487374800c068040db315c6d9,True,True,True,0.0,0,True,True
18_em_18,18_em_18_0.bmp,18_em_18.bmp,24730,24730,290,81,290,81,L,L,7b48f8d3a4eef6823831c1bb485ee3ac2c7a9a0b2a1488b823549905ff97e22e,7b48f8d3a4eef6823831c1bb485ee3ac2c7a9a0b2a1488b823549905ff97e22e,True,True,True,0.0,0,True,True
18_em_19,18_em_19_0.bmp,18_em_19.bmp,7318,7318,102,60,102,60,L,L,8f5c920eaff8aa697e7bdd6e8f55759fd89daa5ed72c2c08cebb8ef881180f84,8f5c920eaff8aa697e7bdd6e8f55759fd89daa5ed72c2c08cebb8ef881180f84,True,True,True,0.0,0,True,True
18_em_2,18_em_2_0.bmp,18_em_2.bmp,110878,110878,897,122,897,122,L,L,4c0b149787680aecade23b9382e733f62c20b61b5f28398e7a33246e2d26e363,4c0b149787680aecade23b9382e733f62c20b61b5f28398e7a33246e2d26e363,True,True,True,0.0,0,True,True
18_em_20,18_em_20_0.bmp,18_em_20.bmp,29614,29614,232,123,232,123,L,L,b3fd840d98dda45c54f8f294286c7f0b3bd45f5a48e720cba8b1407f295f4922,b3fd840d98dda45c54f8f294286c7f0b3bd45f5a48e720cba8b1407f295f4922,True,True,True,0.0,0,True,True
18_em_21,18_em_21_0.bmp,18_em_21.bmp,33838,33838,466,70,466,70,L,L,b87e8a52e96295f879a1563c7a64abb72f2954e26e3080dd894667a790ade9d8,b87e8a52e96295f879a1563c7a64abb72f2954e26e3080dd894667a790ade9d8,True,True,True,0.0,0,True,True
18_em_22,18_em_22_0.bmp,18_em_22.bmp,49798,49798,417,116,417,116,L,L,b75c88b6ba59cce5ba94097b4b372a2311addd42bd8696e0c146142b1a4bde0d,b75c88b6ba59cce5ba94097b4b372a2311addd42bd8696e0c146142b1a4bde0d,True,True,True,0.0,0,True,True
18_em_23,18_em_23_0.bmp,18_em_23.bmp,60918,60918,352,170,352,170,L,L,a31fa51c0fed2aaace0259285e79b7b03417d8c869e00d841cb0e17174cfb9c9,a31fa51c0fed2aaace0259285e79b7b03417d8c869e00d841cb0e17174cfb9c9,True,True,True,0.0,0,True,True
18_em_24,18_em_24_0.bmp,18_em_24.bmp,42798,42798,278,149,278,149,L,L,4266dd1994a139f6da1f320e70f81bf9d80e85632a1bfc6663f5a31d4102d3b7,4266dd1994a139f6da1f320e70f81bf9d80e85632a1bfc6663f5a31d4102d3b7,True,True,True,0.0,0,True,True
18_em_3,18_em_3_0.bmp,18_em_3.bmp,32662,32662,375,84,375,84,L,L,3865b9b23b9f984cd3bfd5ee109c511ffa929966323b9b37d996f4940cd08f56,3865b9b23b9f984cd3bfd5ee109c511ffa929966323b9b37d996f4940cd08f56,True,True,True,0.0,0,True,True
18_em_4,18_em_4_0.bmp,18_em_4.bmp,12562,12562,129,87,129,87,L,L,73490481ebca462e7f8dbf3da8549760ef0ddd9e16e535b8eab4486997598573,73490481ebca462e7f8dbf3da8549760ef0ddd9e16e535b8eab4486997598573,True,True,True,0.0,0,True,True
18_em_5,18_em_5_0.bmp,18_em_5.bmp,17346,17346,194,83,194,83,L,L,2ff8870571f4b27f316a0c0e037eaac4ba27016c5ef0b997959af75962480c1c,2ff8870571f4b27f316a0c0e037eaac4ba27016c5ef0b997959af75962480c1c,True,True,True,0.0,0,True,True
18_em_6,18_em_6_0.bmp,18_em_6.bmp,21934,21934,261,79,261,79,L,L,860a97bc3f7c5f60abae94d10c72182e3ff821f42f6edd95f4ea6cdb7e347373,860a97bc3f7c5f60abae94d10c72182e3ff821f42f6edd95f4ea6cdb7e347373,True,True,True,0.0,0,True,True
18_em_7,18_em_7_0.bmp,18_em_7.bmp,16278,16278,160,95,160,95,L,L,7b01ef8eacf6a2222669cede5c24f835768897ea2193e097348e4016b88a1818,7b01ef8eacf6a2222669cede5c24f835768897ea2193e097348e4016b88a1818,True,True,True,0.0,0,True,True
18_em_8,18_em_8_0.bmp,18_em_8.bmp,24082,24082,281,81,281,81,L,L,45a8e6d7500e0ec617eefe98b7599f1f38aa4146d5aecb6f32755997aafe7a9e,45a8e6d7500e0ec617eefe98b7599f1f38aa4146d5aecb6f32755997aafe7a9e,True,True,True,0.0,0,True,True
18_em_9,18_em_9_0.bmp,18_em_9.bmp,47046,47046,271,169,271,169,L,L,e7e2b641b1aacdfa011541a5f14a973931d29760231eca2de5ac174d59a0f4e3,e7e2b641b1aacdfa011541a5f14a973931d29760231eca2de5ac174d59a0f4e3,True,True,True,0.0,0,True,True
20_em_25,20_em_25_0.bmp,20_em_25.bmp,103686,103686,846,121,846,121,L,L,3af67a6ada80c9d750a6d281a47be2959a09be2d7587872c1b5b4c8f80f81131,3af67a6ada80c9d750a6d281a47be2959a09be2d7587872c1b5b4c8f80f81131,True,True,True,0.0,0,True,True
20_em_26,20_em_26_0.bmp,20_em_26.bmp,49550,49550,292,166,292,166,L,L,7411bcf81071c13486f5a6061ad0aaabe3955d3c136b781a0fc7ae33828d1c54,7411bcf81071c13486f5a6061ad0aaabe3955d3c136b781a0fc7ae33828d1c54,True,True,True,0.0,0,True,True
20_em_27,20_em_27_0.bmp,20_em_27.bmp,90454,90454,530,168,530,168,L,L,043479388fccfbfa579e62e8e53e42e613597a2da1e215d3c9725cba097c848d,043479388fccfbfa579e62e8e53e42e613597a2da1e215d3c9725cba097c848d,True,True,True,0.0,0,True,True
20_em_28,20_em_28_0.bmp,20_em_28.bmp,18934,18934,246,72,246,72,L,L,bfcce630105010b89b90d2c5dfd4f04170e674e9b4c345328f68499a958d3ad5,bfcce630105010b89b90d2c5dfd4f04170e674e9b4c345328f68499a958d3ad5,True,True,True,0.0,0,True,True
20_em_29,20_em_29_0.bmp,20_em_29.bmp,22658,22658,257,83,257,83,L,L,0e4eca9a3167b5f254aa48966d12721e61df990ba7f8b49d748458c523ff156c,0e4eca9a3167b5f254aa48966d12721e61df990ba7f8b49d748458c523ff156c,True,True,True,0.0,0,True,True
