token,frecuencia_modelo1,frecuencia_modelo2,proporcion_modelo1,proporcion_modelo2,delta_frecuencia,delta_proporcion,presente_solo_en
!,21,21,0.001321003963011889,0.0013135672734096453,0,-7.436689602243786e-06,ambos
(,458,458,0.028810467383783105,0.028648276724838932,0,-0.0001621906589441731,ambos
),458,458,0.028810467383783105,0.028648276724838932,0,-0.0001621906589441731,ambos
+,626,626,0.039378499087878216,0.039156814912116096,0,-0.0002216841757621199,ambos
",",82,82,0.005158205950808329,0.005129167448551949,0,-2.9038502256380043e-05,ambos
-,488,488,0.030697615902371515,0.030524801401138425,0,-0.00017281450123309006,ambos
.,20,20,0.0012580990123922753,0.0012510164508663288,0,-7.0825615259464524e-06,ambos
/,19,19,0.0011951940617726615,0.0011884656283230124,0,-6.728433449649119e-06,ambos
0,214,214,0.013461659432597346,0.01338587602426972,0,-7.578340832762633e-05,ambos
1,727,727,0.0457318991004592,0.04547444798899106,0,-0.00025745111146814603,ambos
2,717,717,0.04510284959426307,0.04484893976355789,0,-0.0002539098307051818,ambos
3,289,289,0.018179530729068378,0.018077187715018452,0,-0.00010234301404992568,ambos
4,183,183,0.011511605963389319,0.011446800525426909,0,-6.48054379624105e-05,ambos
5,122,122,0.007674403975592879,0.007631200350284606,0,-4.3203625308272514e-05,ambos
6,90,90,0.005661445555765239,0.00562957402889848,0,-3.187152686675871e-05,ambos
7,87,87,0.005472730703906397,0.0054419215612685305,0,-3.0809142637866493e-05,ambos
8,83,83,0.005221110901427942,0.005191718271095265,0,-2.939263033267716e-05,ambos
9,95,95,0.005975970308863308,0.005942328141615062,0,-3.364216724824603e-05,ambos
<,14,14,0.0008806693086745927,0.0008757115156064302,0,-4.957793068162452e-06,ambos
=,437,437,0.027489463420771215,0.027334709451429285,0,-0.00015475396934193017,ambos
>,7,7,0.00044033465433729633,0.0004378557578032151,0,-2.478896534081226e-06,ambos
A,33,33,0.0020758633704472543,0.0020641771439294425,0,-1.1686226517811787e-05,ambos
B,28,28,0.0017613386173491853,0.0017514230312128604,0,-9.915586136324903e-06,ambos
C,31,31,0.0019500534692080266,0.0019390754988428097,0,-1.0977970365216904e-05,ambos
E,18,18,0.0011322891111530478,0.001125914805779696,0,-6.3743053733517855e-06,ambos
F,22,22,0.0013839089136315028,0.0013761180959529617,0,-7.79081767854112e-06,ambos
G,9,9,0.0005661445555765239,0.000562957402889848,0,-3.1871526866758928e-06,ambos
H,15,15,0.0009435742592942064,0.0009382623381497466,0,-5.311921144459785e-06,ambos
I,7,7,0.00044033465433729633,0.0004378557578032151,0,-2.478896534081226e-06,ambos
L,19,19,0.0011951940617726615,0.0011884656283230124,0,-6.728433449649119e-06,ambos
M,10,10,0.0006290495061961376,0.0006255082254331644,0,-3.5412807629732262e-06,ambos
N,17,17,0.001069384160533434,0.0010633639832363796,0,-6.020177297054452e-06,ambos
P,17,17,0.001069384160533434,0.0010633639832363796,0,-6.020177297054452e-06,ambos
R,23,23,0.0014468138642511166,0.0014386689184962783,0,-8.144945754838236e-06,ambos
S,18,18,0.0011322891111530478,0.001125914805779696,0,-6.3743053733517855e-06,ambos
T,14,14,0.0008806693086745927,0.0008757115156064302,0,-4.957793068162452e-06,ambos
V,15,15,0.0009435742592942064,0.0009382623381497466,0,-5.311921144459785e-06,ambos
X,30,30,0.0018871485185884128,0.0018765246762994933,0,-1.062384228891957e-05,ambos
Y,13,13,0.0008177643580549789,0.0008131606930631138,0,-4.603664991865118e-06,ambos
[,44,44,0.0027678178272630056,0.0027522361919059234,0,-1.558163535708224e-05,ambos
\Delta,5,5,0.0003145247530980688,0.0003127541127165822,0,-1.7706403814866131e-06,ambos
\Pi,0,1,0.0,6.255082254331645e-05,1,6.255082254331645e-05,Modelo2
\alpha,43,43,0.002704912876643392,0.002689685369362607,0,-1.5227507280784688e-05,ambos
\beta,39,39,0.002453293074164937,0.0024394820791893415,0,-1.3810994975595355e-05,ambos
\cdot,1,1,6.290495061961377e-05,6.255082254331645e-05,0,-3.541280762973199e-07,ambos
\cdots,6,6,0.0003774297037176826,0.0003753049352598987,0,-2.1247684577838924e-06,ambos
\cos,70,70,0.004403346543372964,0.004378557578032151,0,-2.478896534081291e-05,ambos
\div,19,19,0.0011951940617726615,0.0011884656283230124,0,-6.728433449649119e-06,ambos
\exists,4,4,0.00025161980247845507,0.0002502032901732658,0,-1.4165123051892796e-06,ambos
\forall,2,2,0.00012580990123922753,0.0001251016450866329,0,-7.082561525946398e-07,ambos
\frac,423,423,0.026608794112096622,0.026458997935822855,0,-0.00014979617627376707,ambos
\gamma,11,11,0.0006919544568157514,0.0006880590479764808,0,-3.89540883927056e-06,ambos
\geq,17,17,0.001069384160533434,0.0010633639832363796,0,-6.020177297054452e-06,ambos
\in,3,3,0.0001887148518588413,0.00018765246762994934,0,-1.0623842288919462e-06,ambos
\infty,50,50,0.003145247530980688,0.0031275411271658223,0,-1.7706403814865806e-05,ambos
\int,67,67,0.004214631691514122,0.004190905110402202,0,-2.3726581111919824e-05,ambos
\lambda,7,7,0.00044033465433729633,0.0004378557578032151,0,-2.478896534081226e-06,ambos
\ldots,34,34,0.002138768321066868,0.002126727966472759,0,-1.2040354594108904e-05,ambos
\leq,31,31,0.0019500534692080266,0.0019390754988428097,0,-1.0977970365216904e-05,ambos
\lim,35,35,0.002201673271686482,0.0021892787890160754,0,-1.2394482670406454e-05,ambos
\limits,0,105,0.0,0.0065678363670482265,105,0.0065678363670482265,Modelo2
\log,36,36,0.0022645782223060956,0.002251829611559392,0,-1.2748610746703571e-05,ambos
\mu,7,7,0.00044033465433729633,0.0004378557578032151,0,-2.478896534081226e-06,ambos
\neq,14,14,0.0008806693086745927,0.0008757115156064302,0,-4.957793068162452e-06,ambos
\phi,12,12,0.0007548594074353652,0.0007506098705197974,0,-4.249536915567785e-06,ambos
\pi,68,67,0.004277536642133736,0.004190905110402202,-1,-8.663153173153401e-05,ambos
\pm,17,17,0.001069384160533434,0.0010633639832363796,0,-6.020177297054452e-06,ambos
\prime,11,11,0.0006919544568157514,0.0006880590479764808,0,-3.89540883927056e-06,ambos
\rightarrow,37,37,0.0023274831729257093,0.0023143804341027086,0,-1.3102738823000688e-05,ambos
\sigma,13,13,0.0008177643580549789,0.0008131606930631138,0,-4.603664991865118e-06,ambos
\sin,95,95,0.005975970308863308,0.005942328141615062,0,-3.364216724824603e-05,ambos
\sqrt,214,214,0.013461659432597346,0.01338587602426972,0,-7.578340832762633e-05,ambos
\sum,74,74,0.004654966345851419,0.004628760868205417,0,-2.6205477646001375e-05,ambos
\tan,39,39,0.002453293074164937,0.0024394820791893415,0,-1.3810994975595355e-05,ambos
\theta,64,64,0.004025916839655281,0.004003252642772253,0,-2.2664196883028474e-05,ambos
\times,72,72,0.004529156444612191,0.004503659223118784,0,-2.5497221493407142e-05,ambos
