id,latex_modelo1,latex_modelo2,n_tokens_modelo1,n_tokens_modelo2,delta_n_tokens,distancia_tokens,tipo_diferencia,operaciones
RIT_2014_225,"d ( x , y ) + d ( y _ { , } z ) \geq d ( x _ { , } z )","d ( x , y ) + d ( y , z ) \geq d ( x , z )",26,20,-6,6,otros cambios de tokens,"[{""operacion"": ""delete"", ""tokens_modelo1"": [""_"", ""{""], ""tokens_modelo2"": []}, {""operacion"": ""delete"", ""tokens_modelo1"": [""}""], ""tokens_modelo2"": []}, {""operacion"": ""delete"", ""tokens_modelo1"": [""_"", ""{""], ""tokens_modelo2"": []}, {""operacion"": ""delete"", ""tokens_modelo1"": [""}""], ""tokens_modelo2"": []}]"
RIT_2014_51,"1 , 0 0 0 _ { , } 0 0 0 _ { , } 0 0 0","1 , 0 0 0 , 0 0 0 , 0 0 0",19,13,-6,6,otros cambios de tokens,"[{""operacion"": ""delete"", ""tokens_modelo1"": [""_"", ""{""], ""tokens_modelo2"": []}, {""operacion"": ""delete"", ""tokens_modelo1"": [""}""], ""tokens_modelo2"": []}, {""operacion"": ""delete"", ""tokens_modelo1"": [""_"", ""{""], ""tokens_modelo2"": []}, {""operacion"": ""delete"", ""tokens_modelo1"": [""}""], ""tokens_modelo2"": []}]"
RIT_2014_191,x [ \infty ] = \lim _ { z \rightarrow 1 ( z - 1 ) x ( z ) },x [ \infty ] = \lim \limits _ { z \rightarrow 1 } ( z - 1 ) x ( z ),21,22,1,3,otros cambios de tokens,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""}""]}, {""operacion"": ""delete"", ""tokens_modelo1"": [""}""], ""tokens_modelo2"": []}]"
RIT_2014_216,\lim _ { y \rightarrow x f ( y ) = f ( x ) },\lim \limits _ { y \rightarrow x } f ( y ) = f ( x ),16,17,1,3,otros cambios de tokens,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""}""]}, {""operacion"": ""delete"", ""tokens_modelo1"": [""}""], ""tokens_modelo2"": []}]"
RIT_2014_217,"v _ { \pm 1 , \pm 2 _ { , } \pm 3 }","v _ { \pm 1 , \pm 2 , \pm 3 }",15,12,-3,3,otros cambios de tokens,"[{""operacion"": ""delete"", ""tokens_modelo1"": [""_"", ""{""], ""tokens_modelo2"": []}, {""operacion"": ""delete"", ""tokens_modelo1"": [""}""], ""tokens_modelo2"": []}]"
RIT_2014_267,\int _ { a } ^ { c } f + \int _ { c } ^ { b } f = \int _ { a } ^ { b } f,\int \limits _ { a } ^ { c } f + \int \limits _ { c } ^ { b } f = \int \limits _ { a } ^ { b } f,32,35,3,3,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_290,\sum _ { k = 1 } ^ { N } a _ { n } \leq \sum _ { k = 1 } ^ { N } b _ { n } \leq \sum _ { n = 1 } ^ { \infty } b _ { n },\sum \limits _ { k = 1 } ^ { N } a _ { n } \leq \sum \limits _ { k = 1 } ^ { N } b _ { n } \leq \sum \limits _ { n = 1 } ^ { \infty } b _ { n },50,53,3,3,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_66,\sum _ { k = 1 } ^ { n } a _ { k } = \sum _ { i = 1 } ^ { n } a = \sum _ { j = 1 } ^ { n } a _ { j },\sum \limits _ { k = 1 } ^ { n } a _ { k } = \sum \limits _ { i = 1 } ^ { n } a = \sum \limits _ { j = 1 } ^ { n } a _ { j },46,49,3,3,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
23_em_59,\sum _ { r = 1 } ^ { n } a r ^ { b } = a \sum _ { r = 1 } ^ { n } r ^ { b },\sum \limits _ { r = 1 } ^ { n } a r ^ { b } = a \sum \limits _ { r = 1 } ^ { n } r ^ { b },35,37,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
23_em_72,\sum _ { i = 1 } ^ { n } x _ { n } = \sum _ { i = 1 } ^ { n } y _ { n },\sum \limits _ { i = 1 } ^ { n } x _ { n } = \sum \limits _ { i = 1 } ^ { n } y _ { n },33,35,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
