token,frecuencia,proporcion,porcentaje,frecuencia_acumulada,proporcion_acumulada,n_ecuaciones,proporcion_ecuaciones,categoria
{,2292,0.14336648526928128,14.336648526928128,2292,0.14336648526928128,685,0.6947261663286004,llaves
},2292,0.14336648526928128,14.336648526928128,4584,0.28673297053856256,685,0.6947261663286004,llaves
1,727,0.04547444798899106,4.547444798899106,5311,0.33220741852755364,379,0.3843813387423935,dígitos
2,717,0.04484893976355789,4.484893976355789,6028,0.3770563582911115,352,0.35699797160243407,dígitos
+,626,0.039156814912116096,3.91568149121161,6654,0.41621317320322765,327,0.3316430020283976,operadores
_,625,0.039094264089572776,3.9094264089572777,7279,0.4553074372928004,273,0.2768762677484787,otros
^,607,0.037968349283793085,3.7968349283793086,7886,0.4932757865765935,292,0.2961460446247465,otros
x,593,0.03709263776818665,3.709263776818665,8479,0.5303684243447802,248,0.2515212981744422,letras
-,488,0.030524801401138425,3.0524801401138424,8967,0.5608932257459186,287,0.29107505070993916,operadores
(,458,0.028648276724838932,2.864827672483893,9425,0.5895415024707575,247,0.25050709939148075,delimitadores/puntuación
),458,0.028648276724838932,2.864827672483893,9883,0.6181897791955964,247,0.25050709939148075,delimitadores/puntuación
=,437,0.027334709451429285,2.7334709451429284,10320,0.6455244886470257,372,0.3772819472616633,relaciones
\frac,423,0.026458997935822855,2.6458997935822857,10743,0.6719834865828486,266,0.2697768762677485,comandos LaTeX
3,289,0.018077187715018452,1.8077187715018452,11032,0.690060674297867,165,0.16734279918864098,dígitos
a,278,0.01738912866704197,1.738912866704197,11310,0.707449802964909,142,0.1440162271805274,letras
n,267,0.016701069619065492,1.6701069619065492,11577,0.7241508725839745,110,0.11156186612576065,letras
y,225,0.0140739350722462,1.40739350722462,11802,0.7382248076562207,102,0.10344827586206896,letras
0,214,0.01338587602426972,1.338587602426972,12016,0.7516106836804904,111,0.11257606490872211,dígitos
\sqrt,214,0.01338587602426972,1.338587602426972,12230,0.7649965597047601,125,0.12677484787018256,comandos LaTeX
b,185,0.011571902170513543,1.1571902170513542,12415,0.7765684618752736,97,0.09837728194726167,letras
4,183,0.011446800525426909,1.1446800525426908,12598,0.7880152624007005,99,0.10040567951318459,dígitos
5,122,0.007631200350284606,0.7631200350284606,12720,0.7956464627509852,80,0.08113590263691683,dígitos
z,120,0.007506098705197973,0.7506098705197973,12840,0.8031525614561832,57,0.057809330628803245,letras
d,119,0.007443547882654657,0.7443547882654656,12959,0.8105961093388379,76,0.07707910750507099,letras
i,113,0.007068242947394758,0.7068242947394758,13072,0.8176643522862326,53,0.0537525354969574,letras
