token,frecuencia,proporcion,porcentaje,frecuencia_acumulada,proporcion_acumulada,n_ecuaciones,proporcion_ecuaciones,categoria
{,2297,0.14449267157325282,14.449267157325282,2297,0.14449267157325282,687,0.6967545638945233,llaves
},2297,0.14449267157325282,14.449267157325282,4594,0.28898534314650565,687,0.6967545638945233,llaves
1,727,0.0457318991004592,4.573189910045921,5321,0.33471724224696486,379,0.3843813387423935,dígitos
2,717,0.04510284959426307,4.510284959426307,6038,0.3798200918412279,352,0.35699797160243407,dígitos
_,630,0.03963011889035667,3.963011889035667,6668,0.41945021073158456,275,0.2789046653144016,otros
+,626,0.039378499087878216,3.937849908787822,7294,0.4588287098194628,327,0.3316430020283976,operadores
^,607,0.038183305026105556,3.8183305026105554,7901,0.49701201484556834,292,0.2961460446247465,otros
x,593,0.03730263571743096,3.7302635717430963,8494,0.5343146505629993,248,0.2515212981744422,letras
-,488,0.030697615902371515,3.0697615902371513,8982,0.5650122664653708,287,0.29107505070993916,operadores
(,458,0.028810467383783105,2.8810467383783105,9440,0.593822733849154,247,0.25050709939148075,delimitadores/puntuación
),458,0.028810467383783105,2.8810467383783105,9898,0.6226332012329371,247,0.25050709939148075,delimitadores/puntuación
=,437,0.027489463420771215,2.7489463420771214,10335,0.6501226646537083,372,0.3772819472616633,relaciones
\frac,423,0.026608794112096622,2.6608794112096623,10758,0.6767314587658049,266,0.2697768762677485,comandos LaTeX
3,289,0.018179530729068378,1.8179530729068378,11047,0.6949109894948733,165,0.16734279918864098,dígitos
a,278,0.017487576272252628,1.7487576272252627,11325,0.7123985657671259,142,0.1440162271805274,letras
n,267,0.016795621815436874,1.6795621815436874,11592,0.7291941875825627,110,0.11156186612576065,letras
y,225,0.014153613889413098,1.4153613889413097,11817,0.7433478014719759,102,0.10344827586206896,letras
0,214,0.013461659432597346,1.3461659432597346,12031,0.7568094609045732,111,0.11257606490872211,dígitos
\sqrt,214,0.013461659432597346,1.3461659432597346,12245,0.7702711203371705,125,0.12677484787018256,comandos LaTeX
b,185,0.011637415864628546,1.1637415864628546,12430,0.7819085362017991,97,0.09837728194726167,letras
