id,latex,linea_caption,imagen_existe,n_tokens,n_caracteres,ecuacion_vacia,archivo_imagen,ancho,alto,modo,formato,bytes,tinta_media,fraccion_tinta,bbox_ancho,bbox_alto,ocupacion_bbox,error_imagen,pixeles,relacion_aspecto,megapixeles,kilobytes,atipico_ancho,atipico_alto,atipico_relacion_aspecto,atipico_pixeles,atipico_fraccion_tinta,llaves_balanceadas,balance_final_llaves,profundidad_max_llaves,n_comandos,n_tokens_raros,proporcion_tokens_raros,grupo_longitud
18_em_0,x _ { k } x x _ { k } + y _ { k } y x _ { k },1,True,23,45,False,18_em_0_0.bmp,464,85,L,BMP,40518,0.9127535223960876,0.9127535496957404,464,85,1.0,,39440,5.458823529411765,0.03944,39.568359375,False,False,False,False,False,True,0,1,0,0,0.0,Q3
18_em_10,2 6,2,True,2,3,False,18_em_10_0.bmp,76,56,L,BMP,5334,0.8679511547088623,0.8679511278195489,76,56,1.0,,4256,1.3571428571428572,0.004256,5.208984375,False,False,False,False,False,True,0,0,0,0,0.0,Q1 corta
18_em_11,q _ { t } = 2 q,3,True,8,15,False,18_em_11_0.bmp,191,77,L,BMP,15862,0.9049432277679443,0.9049432243149521,191,77,1.0,,14707,2.4805194805194803,0.014707,15.490234375,False,False,False,False,False,True,0,1,0,0,0.0,Q2
18_em_12,\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },4,True,23,49,False,18_em_12_0.bmp,294,173,L,BMP,52286,0.931618869304657,0.9316188903306988,294,173,1.0,,50862,1.699421965317919,0.050862,51.060546875,False,False,False,False,False,True,0,2,1,0,0.0,Q3
18_em_13,4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },5,True,19,41,False,18_em_13_0.bmp,291,135,L,BMP,40498,0.9405370950698853,0.9405371006745578,291,135,1.0,,39285,2.1555555555555554,0.039285,39.548828125,False,False,False,False,False,True,0,1,1,0,0.0,Q3
18_em_14,\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },6,True,25,61,False,18_em_14_0.bmp,228,204,L,BMP,47590,0.9200421571731567,0.9200421396628827,228,204,1.0,,46512,1.1176470588235294,0.046512,46.474609375,False,True,False,False,False,True,0,2,3,0,0.0,Q4 larga
18_em_15,k = 1 0 0 0 0 0 0 0 0 0,7,True,12,23,False,18_em_15_0.bmp,334,78,L,BMP,27286,0.8778212666511536,0.8778212805158913,334,78,1.0,,26052,4.282051282051282,0.026052,26.646484375,False,False,False,False,False,True,0,0,0,0,0.0,Q2
18_em_16,m \geq 2,8,True,3,8,False,18_em_16_0.bmp,116,61,L,BMP,8154,0.8814302086830139,0.8814301865460712,116,61,1.0,,7076,1.901639344262295,0.007076,7.962890625,False,False,False,False,False,True,0,0,1,0,0.0,Q1 corta
18_em_17,u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },9,True,21,45,False,18_em_17_0.bmp,379,117,L,BMP,45538,0.9166497588157654,0.9166497530613625,379,117,1.0,,44343,3.2393162393162394,0.044343,44.470703125,False,False,False,False,False,True,0,1,1,0,0.0,Q3
18_em_18,\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },10,True,17,48,False,18_em_18_0.bmp,290,81,L,BMP,24730,0.8944231867790222,0.8944231587909749,290,81,1.0,,23490,3.580246913580247,0.02349,24.150390625,False,False,False,False,False,True,0,1,3,0,0.0,Q3
18_em_19,y \neq x,11,True,3,8,False,18_em_19_0.bmp,102,60,L,BMP,7318,0.886274516582489,0.8862745098039215,102,60,1.0,,6120,1.7,0.00612,7.146484375,False,False,False,False,False,True,0,0,1,0,0.0,Q1 corta
18_em_1,\sqrt { 4 8 },12,True,5,13,False,18_em_1_0.bmp,105,69,L,BMP,8530,0.8741200566291809,0.874120082815735,105,69,1.0,,7245,1.5217391304347827,0.007245,8.330078125,False,False,False,False,False,True,0,1,1,0,0.0,Q1 corta
18_em_20,\frac { 1 } { p } + \frac { 1 } { q } = 1,13,True,17,41,False,18_em_20_0.bmp,232,123,L,BMP,29614,0.9377278089523315,0.9377277824502382,232,123,1.0,,28536,1.886178861788618,0.028536,28.919921875,False,False,False,False,False,True,0,1,2,0,0.0,Q3
18_em_21,1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 },14,True,20,39,False,18_em_21_0.bmp,466,70,L,BMP,33838,0.8995401859283447,0.8995401594114041,466,70,1.0,,32620,6.6571428571428575,0.03262,33.044921875,False,False,False,False,False,True,0,1,0,0,0.0,Q3
18_em_22,p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } },15,True,40,99,False,18_em_22_0.bmp,417,116,L,BMP,49798,0.9370503425598145,0.9370503597122302,417,116,1.0,,48372,3.5948275862068964,0.048372,48.630859375,False,False,False,False,False,True,0,2,4,0,0.0,Q4 larga
18_em_23,\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },16,True,21,55,False,18_em_23_0.bmp,352,170,L,BMP,60918,0.9296624064445496,0.9296624331550802,352,170,1.0,,59840,2.070588235294118,0.05984,59.490234375,False,False,False,False,False,True,0,1,4,0,0.0,Q3
18_em_24,\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },17,True,17,37,False,18_em_24_0.bmp,278,149,L,BMP,42798,0.8978079557418823,0.897807928154121,278,149,1.0,,41422,1.8657718120805369,0.041422,41.794921875,False,False,False,False,False,True,0,1,1,0,0.0,Q3
18_em_2,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0,18,True,60,124,False,18_em_2_0.bmp,897,122,L,BMP,110878,0.9466527700424194,0.9466527770162838,897,122,1.0,,109434,7.352459016393443,0.109434,108.279296875,True,False,True,True,False,True,0,1,1,0,0.0,Q4 larga
18_em_3,"q _ { 1 } , q _ { 2 } , \ldots , q _ { m }",19,True,19,42,False,18_em_3_0.bmp,375,84,L,BMP,32662,0.9279047846794128,0.9279047619047619,375,84,1.0,,31500,4.464285714285714,0.0315,31.896484375,False,False,False,False,False,True,0,1,1,0,0.0,Q3
18_em_4,e ^ { - n },20,True,6,11,False,18_em_4_0.bmp,129,87,L,BMP,12562,0.9334402680397034,0.9334402566158782,129,87,1.0,,11223,1.4827586206896552,0.011223,12.267578125,False,False,False,False,False,True,0,1,0,0,0.0,Q1 corta
18_em_5,\int g = \lim _ { n \rightarrow \infty } \int g _ { n },21,True,16,55,False,18_em_5_0.bmp,194,83,L,BMP,17346,0.882436990737915,0.8824369643522544,194,83,1.0,,16102,2.3373493975903616,0.016102,16.939453125,False,False,False,False,False,True,0,1,5,0,0.0,Q3
18_em_6,g ( b ) - g ( a ) = b - a,22,True,13,25,False,18_em_6_0.bmp,261,79,L,BMP,21934,0.8835055232048035,0.8835055046316505,261,79,1.0,,20619,3.3037974683544302,0.020619,21.419921875,False,False,False,False,False,True,0,0,0,0,0.0,Q2
18_em_7,\sin ^ { 2 } \theta,23,True,6,19,False,18_em_7_0.bmp,160,95,L,BMP,16278,0.8813157677650452,0.8813157894736842,160,95,1.0,,15200,1.6842105263157894,0.0152,15.896484375,False,False,False,False,False,True,0,1,2,0,0.0,Q1 corta
18_em_8,x _ { L L L } \leq x _ { L L },24,True,14,30,False,18_em_8_0.bmp,281,81,L,BMP,24082,0.9144150018692017,0.9144150081279382,281,81,1.0,,22761,3.4691358024691357,0.022761,23.517578125,False,False,False,False,False,True,0,1,1,0,0.0,Q3
18_em_9,\frac { a } { b + \sqrt { c } },25,True,12,31,False,18_em_9_0.bmp,271,169,L,BMP,47046,0.9443437457084656,0.9443437629642568,271,169,1.0,,45799,1.6035502958579881,0.045799,45.943359375,False,False,False,False,False,True,0,2,2,0,0.0,Q2
20_em_25,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,26,True,16,46,False,20_em_25_0.bmp,846,121,L,BMP,103686,0.9363851547241211,0.9363851278744896,846,121,1.0,,102366,6.991735537190083,0.102366,101.255859375,True,False,True,True,False,True,0,0,5,0,0.0,Q3
20_em_26,\frac { 9 } { 9 + \sqrt { 9 } },27,True,12,31,False,20_em_26_0.bmp,292,166,L,BMP,49550,0.9440914392471313,0.9440914342300709,292,166,1.0,,48472,1.7590361445783131,0.048472,48.388671875,False,False,False,False,False,True,0,2,2,0,0.0,Q2
20_em_27,R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } },28,True,55,145,False,20_em_27_0.bmp,530,168,L,BMP,90454,0.9258984923362732,0.9258984725965858,530,168,1.0,,89040,3.1547619047619047,0.08904,88.333984375,False,False,False,False,False,True,0,2,9,0,0.0,Q4 larga
20_em_28,1 . 3 7 9 1 9 4 1 7 1,29,True,11,21,False,20_em_28_0.bmp,246,72,L,BMP,18934,0.9006888270378113,0.9006887985546522,246,72,1.0,,17712,3.4166666666666665,0.017712,18.490234375,False,False,False,False,False,True,0,0,0,0,0.0,Q2
20_em_29,"( - \infty , \infty )",30,True,6,21,False,20_em_29_0.bmp,257,83,L,BMP,22658,0.9338990449905396,0.933899020205335,257,83,1.0,,21331,3.0963855421686746,0.021331,22.126953125,False,False,False,False,False,True,0,0,2,0,0.0,Q1 corta
20_em_30,I _ { S },31,True,5,9,False,20_em_30_0.bmp,53,70,L,BMP,4998,0.9097034931182861,0.9097035040431267,53,70,1.0,,3710,0.7571428571428571,0.00371,4.880859375,False,False,False,False,False,True,0,1,0,0,0.0,Q1 corta
20_em_31,X X ^ { - 1 } = X ^ { - 1 } X = I,32,True,17,33,False,20_em_31_0.bmp,537,101,L,BMP,55618,0.9459409713745117,0.945940962811365,537,101,1.0,,54237,5.316831683168317,0.054237,54.314453125,False,False,False,False,False,True,0,1,0,0,0.0,Q3
20_em_32,\frac { \pi } { 3 },33,True,7,19,False,20_em_32_0.bmp,86,126,L,BMP,12166,0.9126061201095581,0.9126061277224068,86,126,1.0,,10836,0.6825396825396826,0.010836,11.880859375,False,False,False,False,False,True,0,1,2,0,0.0,Q2
20_em_33,R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },34,True,48,99,False,20_em_33_0.bmp,751,147,L,BMP,111622,0.94318687915802,0.9431868619618287,751,147,1.0,,110397,5.108843537414966,0.110397,109.005859375,False,False,False,True,False,True,0,2,1,0,0.0,Q4 larga
20_em_34,\sin ( a + b ),35,True,6,14,False,20_em_34_0.bmp,190,89,L,BMP,18166,0.9158486127853394,0.9158486102897694,190,89,1.0,,16910,2.134831460674157,0.01691,17.740234375,False,False,False,False,False,True,0,0,1,0,0.0,Q1 corta
20_em_35,\mu \geq 0,36,True,3,10,False,20_em_35_0.bmp,246,79,L,BMP,20670,0.9321807026863098,0.9321807142122054,246,79,1.0,,19434,3.1139240506329116,0.019434,20.185546875,False,False,False,False,False,True,0,0,2,0,0.0,Q1 corta
20_em_36,e _ { 5 } - 5 e _ { 4 },37,True,12,23,False,20_em_36_0.bmp,382,99,L,BMP,39094,0.9346607327461243,0.9346607435612672,382,99,1.0,,37818,3.8585858585858586,0.037818,38.177734375,False,False,False,False,False,True,0,1,0,0,0.0,Q2
