index,sample_id,image_file,ground_truth_modelo1,ground_truth_modelo2,status,error,height,width,posformer_height,posformer_width,san_prediction,posformer_prediction,san_time_ms,posformer_time_ms,san_native_correct,posformer_native_correct,native_outcome,common_ground_truth,san_common_prediction,posformer_common_prediction,san_common_correct,posformer_common_correct,common_outcome
1,23_em_52,23_em_52.bmp,2 p,2 p,ok,,71,71,71,71,2 p,2 p,28.84960000000092,60.21500000000657,1,1,Ambos aciertan,2 p,2 p,2 p,1,1,Ambos aciertan
2,513_em_320,513_em_320.bmp,k N,k N,ok,,56,55,56,55,k N,k N,169.86169999999845,101.09920000000017,1,1,Ambos aciertan,k N,k N,k N,1,1,Ambos aciertan
3,RIT_2014_29,RIT_2014_29.bmp,- 7,- 7,ok,,54,53,54,53,- 7,- 7,19.487600000005045,63.67649999999969,1,1,Ambos aciertan,- 7,- 7,- 7,1,1,Ambos aciertan
4,RIT_2014_95,RIT_2014_95.bmp,2 0,2 0,ok,,58,74,58,74,2 0,2 0,140.7049000000029,77.4146999999985,1,1,Ambos aciertan,2 0,2 0,2 0,1,1,Ambos aciertan
5,RIT_2014_97,RIT_2014_97.bmp,1 2,1 2,ok,,57,66,57,66,1 2,1 2,114.39639999999685,3493.7417999999952,1,1,Ambos aciertan,1 2,1 2,1 2,1,1,Ambos aciertan
6,29_em_151,29_em_151.bmp,P a,P a,ok,,73,84,73,84,p _ { a },p _ { a },173.69999999999663,199.77240000000052,0,0,Ambos fallan,P a,p _ { a },p _ { a },0,0,Ambos fallan
7,RIT_2014_57,RIT_2014_57.bmp,1 9,1 9,ok,,59,69,59,69,1 9,7 9,81.93849999999259,71.9634999999954,1,0,Solo SAN,1 9,1 9,7 9,1,0,Solo SAN
8,517_em_404,517_em_404.bmp,P a,P a,ok,,64,78,64,78,p _ { a },p _ { a },96.9929000000036,128.69739999999297,0,0,Ambos fallan,P a,p _ { a },p _ { a },0,0,Ambos fallan
9,18_em_10,18_em_10.bmp,2 6,2 6,ok,,56,76,56,76,2 6,2 6,130.94180000000222,85.69209999998861,1,1,Ambos aciertan,2 6,2 6,2 6,1,1,Ambos aciertan
10,RIT_2014_187,RIT_2014_187.bmp,1 m,1 m,ok,,76,107,76,107,1 m,1 m,176.07080000000508,1008.9077000000088,1,1,Ambos aciertan,1 m,1 m,1 m,1,1,Ambos aciertan
