id,category,abm_dimensions,reference_dimensions,pixels_equal,abm_gt,reference_gt
UN19_1023_em_326,identical,193x74,167x67,false,n \times 3,n \times 3
UN19_1039_em_567,identical,393x94,258x68,false,x = \cos L t,x = \cos L t
UN19_1038_em_545,identical,531x181,467x161,false,- \frac { 3 + z ^ { 2 } } { 8 } - \frac { ( 3 + z ^ { 2 } ) ^ { 2 } } { 3 2 },- \frac { 3 + z ^ { 2 } } { 8 } - \frac { ( 3 + z ^ { 2 } ) ^ { 2 } } { 3 2 }
UN19_1022_em_304,identical,442x107,359x90,false,\frac { 1 } { 8 } ( n + 2 ) ( n + 4 ),\frac { 1 } { 8 } ( n + 2 ) ( n + 4 )
UN19_1003_em_30,identical,364x85,347x81,false,n = - 1 + \sqrt { 1 5 },n = - 1 + \sqrt { 1 5 }
UN19wb_1120_em_1177,identical,126x108,101x87,false,\int d ^ { 3 } y,\int d ^ { 3 } y
UN19wb_1109_em_1016,identical,116x50,152x59,false,n + n,n + n
UN19_1029_em_415,identical,576x105,669x118,false,"k ( r , E , l ) = \frac { 1 } { V ( r ) } \sqrt { E ^ { 2 } - \frac { V ( r ) } { r ^ { 2 } } l ( l + 1 ) }","k ( r , E , l ) = \frac { 1 } { V ( r ) } \sqrt { E ^ { 2 } - \frac { V ( r ) } { r ^ { 2 } } l ( l + 1 ) }"
UN19_1011_em_151,identical,338x99,535x145,false,a [ 3 ] = \frac { 1 } { 2 } a _ { 2 } + a _ { 3 } + \frac { 3 } { 2 },a [ 3 ] = \frac { 1 } { 2 } a _ { 2 } + a _ { 3 } + \frac { 3 } { 2 }
UN19wb_1105_em_958,identical,297x99,620x185,false,\frac { 8 \times 5 } { 5 + 3 } = \frac { 3 5 \times 1 } { 6 + 1 },\frac { 8 \times 5 } { 5 + 3 } = \frac { 3 5 \times 1 } { 6 + 1 }
UN19_1010_em_136,identical,317x82,354x89,false,x ^ { 1 } \ldots x ^ { 5 },x ^ { 1 } \ldots x ^ { 5 }
UN19wb_1116_em_1122,identical,146x152,103x107,false,\sqrt { \frac { p + 1 } { 2 } },\sqrt { \frac { p + 1 } { 2 } }
UN19_1044_em_639,identical,825x225,367x111,false,f = a _ { 1 } ( x - x _ { h } ) + a _ { 2 } ( x - x _ { h } ) ^ { 2 },f = a _ { 1 } ( x - x _ { h } ) + a _ { 2 } ( x - x _ { h } ) ^ { 2 }
UN19_1016_em_215,identical,312x173,134x81,false,c c ( c a ),c c ( c a )
UN19_1017_em_237,only_limits,327x270,224x186,false,\sum _ { p = 1 } ^ { P } c _ { p } n ^ { - 2 p },\sum \limits _ { p = 1 } ^ { P } c _ { p } n ^ { - 2 p }
UN19_1015_em_204,identical,776x120,552x91,false,a = 3 ( 4 - \sqrt { 1 0 } ) \sqrt { 1 0 } / ( 1 4 \sqrt { 1 0 } - 5 ),a = 3 ( 4 - \sqrt { 1 0 } ) \sqrt { 1 0 } / ( 1 4 \sqrt { 1 0 } - 5 )
UN19_1030_em_430,residual,732x178,573x143,false,b - \frac { 4 B { \pi } ^ { 2 } { \sqrt { 1 - x } } } { { \sqrt { 1 + 3 x } } } - 4 ( \gamma + \log ( 4 ) ),b - \frac { 4 B \pi ^ { 2 } \sqrt { 1 - x } } { \sqrt { 1 + 3 x } } - 4 ( \gamma + \log ( 4 ) )
UN19wb_1112_em_1063,identical,381x145,219x90,false,x ^ { k } t ( x ) d x,x ^ { k } t ( x ) d x
UN19_1051_em_745,identical,136x206,93x136,false,\frac { 7 } { 4 },\frac { 7 } { 4 }
UN19wb_1115_em_1102,residual,217x126,242x139,false,\frac { 3 } { 2 } \times \frac 3 2,\frac { 3 } { 2 } \times \frac { 3 } { 2 }
UN19_1050_em_722,only_limits,355x154,303x133,false,H _ { n } = \sum _ { j } a _ { j } ^ { n - 1 } b _ { j },H _ { n } = \sum \limits _ { j } a _ { j } ^ { n - 1 } b _ { j }
UN19wb_1117_em_1135,identical,517x88,712x112,false,f _ { n - 1 } ( x ) = b _ { n - 1 } x ^ { n - 1 } + \ldots + b _ { 0 },f _ { n - 1 } ( x ) = b _ { n - 1 } x ^ { n - 1 } + \ldots + b _ { 0 }
ISICal19_1207_em_849,identical,210x105,181x92,false,n ! k !,n ! k !
UN19wb_1108_em_1001,identical,479x92,605x110,false,"[ x , y , z ] = ( x y ) z - x ( y z )","[ x , y , z ] = ( x y ) z - x ( y z )"
UN19_1049_em_707,identical,152x108,83x63,false,q y x,q y x
UN19_1002_em_26,residual,378x162,252x113,false,f ( z ) = { \frac { z } { \sqrt { 1 + z ^ { 2 } } } },f ( z ) = \frac { z } { \sqrt { 1 + z ^ { 2 } } }
UN19wb_1113_em_1074,identical,271x128,165x83,false,\sqrt { T } y ( t ),\sqrt { T } y ( t )
UN19wb_1111_em_1043,identical,102x98,83x80,false,\int d c,\int d c
UN19_1044_em_641,identical,711x156,354x88,false,b _ { c } = \frac { 1 } { 2 } \log ( \sqrt { 2 } + 1 ),b _ { c } = \frac { 1 } { 2 } \log ( \sqrt { 2 } + 1 )
UN19wb_1106_em_974,identical,358x116,341x111,false,- b j _ { 2 1 } = - b j _ { 1 } + \frac { 1 } { 2 b },- b j _ { 2 1 } = - b j _ { 1 } + \frac { 1 } { 2 b }
UN19_1046_em_672,residual,275x77,353x92,false,d x + 2 l \cos { y } d z,d x + 2 l \cos y d z
UN19_1036_em_516,only_limits,711x148,471x105,false,A = \int d x h ( x ) \sum _ { j } B _ { j } ( x ) b _ { j } ( x ),A = \int d x h ( x ) \sum \limits _ { j } B _ { j } ( x ) b _ { j } ( x )
UN19_1037_em_534,identical,253x154,141x91,false,t > x,t > x
UN19_1025_em_358,identical,311x73,287x68,false,a ( t ) = \sin ( H t ),a ( t ) = \sin ( H t )
UN19_1020_em_276,identical,749x138,612x116,false,\frac { 1 } { 6 4 } ( 3 n ^ { 3 } + 2 3 n ^ { 2 } + 7 2 n + 8 0 ),\frac { 1 } { 6 4 } ( 3 n ^ { 3 } + 2 3 n ^ { 2 } + 7 2 n + 8 0 )
UN19_1042_em_602,identical,217x85,177x73,false,\sin ( n v ),\sin ( n v )
UN19_1035_em_507,only_limits,186x145,129x103,false,\sum _ { i } \beta ^ { i },\sum \limits _ { i } \beta ^ { i }
ISICal19_1211_em_898,identical,283x125,292x127,false,\frac { \sqrt { A } } { \alpha } - \frac { 1 } { 2 },\frac { \sqrt { A } } { \alpha } - \frac { 1 } { 2 }
UN19_1030_em_429,identical,243x115,124x66,false,9 - n,9 - n
UN19_1040_em_575,identical,607x124,346x79,false,n 2 ^ { n - 1 } + 1 - 2 ^ { n },n 2 ^ { n - 1 } + 1 - 2 ^ { n }
UN19_1043_em_620,identical,357x167,135x72,false,4 + x,4 + x
UN19wb_1102_em_904,identical,530x174,320x112,false,E = \sqrt { 2 } \int \limits _ { - 1 } ^ { + 1 } d f \sqrt { V ( f ) },E = \sqrt { 2 } \int \limits _ { - 1 } ^ { + 1 } d f \sqrt { V ( f ) }
UN19_1001_em_7,only_limits,256x104,333x128,false,\sum _ { i } r _ { i } + \sum _ { i } s _ { i },\sum \limits _ { i } r _ { i } + \sum \limits _ { i } s _ { i }
