id,category,left_gt,right_gt,left_dimensions,right_dimensions,image_bytes_equal
18_em_0,identical,x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },464x85,464x85,true
18_em_1,identical,\sqrt { 4 8 },\sqrt { 4 8 },105x69,105x69,true
18_em_10,identical,2 6,2 6,76x56,76x56,true
18_em_11,identical,q _ { t } = 2 q,q _ { t } = 2 q,191x77,191x77,true
18_em_12,identical,\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },294x173,294x173,true
18_em_13,identical,4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },291x135,291x135,true
18_em_14,identical,\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },228x204,228x204,true
18_em_15,identical,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0,334x78,334x78,true
18_em_16,identical,m \geq 2,m \geq 2,116x61,116x61,true
18_em_17,identical,u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },379x117,379x117,true
18_em_18,identical,\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },290x81,290x81,true
18_em_19,identical,y \neq x,y \neq x,102x60,102x60,true
18_em_2,identical,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0,897x122,897x122,true
18_em_20,identical,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,232x123,232x123,true
18_em_21,identical,1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 },1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 },466x70,466x70,true
18_em_22,identical,p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } },p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } },417x116,417x116,true
18_em_23,identical,\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },352x170,352x170,true
18_em_24,identical,\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },278x149,278x149,true
18_em_3,identical,"q _ { 1 } , q _ { 2 } , \ldots , q _ { m }","q _ { 1 } , q _ { 2 } , \ldots , q _ { m }",375x84,375x84,true
18_em_4,identical,e ^ { - n },e ^ { - n },129x87,129x87,true
18_em_5,identical,\int g = \lim _ { n \rightarrow \infty } \int g _ { n },\int g = \lim _ { n \rightarrow \infty } \int g _ { n },194x83,194x83,true
18_em_6,identical,g ( b ) - g ( a ) = b - a,g ( b ) - g ( a ) = b - a,261x79,261x79,true
18_em_7,identical,\sin ^ { 2 } \theta,\sin ^ { 2 } \theta,160x95,160x95,true
18_em_8,identical,x _ { L L L } \leq x _ { L L },x _ { L L L } \leq x _ { L L },281x81,281x81,true
18_em_9,identical,\frac { a } { b + \sqrt { c } },\frac { a } { b + \sqrt { c } },271x169,271x169,true
20_em_25,identical,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,846x121,846x121,true
20_em_26,identical,\frac { 9 } { 9 + \sqrt { 9 } },\frac { 9 } { 9 + \sqrt { 9 } },292x166,292x166,true
20_em_27,identical,R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } },R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } },530x168,530x168,true
20_em_28,identical,1 . 3 7 9 1 9 4 1 7 1,1 . 3 7 9 1 9 4 1 7 1,246x72,246x72,true
20_em_29,identical,"( - \infty , \infty )","( - \infty , \infty )",257x83,257x83,true
20_em_30,identical,I _ { S },I _ { S },53x70,53x70,true
20_em_31,identical,X X ^ { - 1 } = X ^ { - 1 } X = I,X X ^ { - 1 } = X ^ { - 1 } X = I,537x101,537x101,true
20_em_32,identical,\frac { \pi } { 3 },\frac { \pi } { 3 },86x126,86x126,true
20_em_33,identical,R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },751x147,751x147,true
20_em_34,identical,\sin ( a + b ),\sin ( a + b ),190x89,190x89,true
20_em_35,identical,\mu \geq 0,\mu \geq 0,246x79,246x79,true
20_em_36,identical,e _ { 5 } - 5 e _ { 4 },e _ { 5 } - 5 e _ { 4 },382x99,382x99,true
20_em_37,identical,\frac { 3 \times 3 ^ { 2 } } { 2 } + \frac { 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times v _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },\frac { 3 \times 3 ^ { 2 } } { 2 } + \frac { 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times v _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },1096x211,1096x211,true
20_em_38,identical,Y _ { t + 1 },Y _ { t + 1 },77x79,77x79,true
20_em_39,identical,n ^ { 2 } + n - n,n ^ { 2 } + n - n,416x98,416x98,true
20_em_40,identical,\sqrt { 4 x ^ { 5 } + x },\sqrt { 4 x ^ { 5 } + x },217x92,217x92,true
20_em_41,identical,9 / 5,9 / 5,115x64,115x64,true
20_em_42,identical,1 7,1 7,56x57,56x57,true
20_em_43,identical,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,367x146,367x146,true
20_em_44,identical,8 c m,8 c m,175x66,175x66,true
20_em_45,identical,\sqrt { C _ { n } },\sqrt { C _ { n } },100x71,100x71,true
20_em_46,identical,\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + 2 },\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + 2 },408x175,408x175,true
20_em_47,identical,5 3 9 5,5 3 9 5,224x60,224x60,true
20_em_48,identical,f ( 1 . 9 9 ) = 3 . 9 9 2 1 9 2 0 1,f ( 1 . 9 9 ) = 3 . 9 9 2 1 9 2 0 1,374x105,374x105,true
20_em_49,identical,6 f t,6 f t,73x57,73x57,true
23_em_50,identical,d ^ { - 7 },d ^ { - 7 },136x90,136x90,true
23_em_51,identical,n = p _ { 1 } ^ { e _ { 1 } } p _ { 2 } ^ { e _ { 2 } } \ldots p _ { m } ^ { e _ { m } },n = p _ { 1 } ^ { e _ { 1 } } p _ { 2 } ^ { e _ { 2 } } \ldots p _ { m } ^ { e _ { m } },613x147,613x147,true
23_em_52,identical,2 p,2 p,71x71,71x71,true
23_em_53,identical,\frac { 1 } { 3 } + \frac { 1 } { 3 },\frac { 1 } { 3 } + \frac { 1 } { 3 },292x153,292x153,true
23_em_54,identical,\beta _ { 0 } = 1 0 0 0,\beta _ { 0 } = 1 0 0 0,216x83,216x83,true
23_em_55,identical,\sqrt { 1 1 3 },\sqrt { 1 1 3 },153x74,153x74,true
23_em_56,identical,9 + 2,9 + 2,132x59,132x59,true
23_em_57,identical,\sqrt { 3 ^ { 2 } + 2 ^ { 2 } } = \sqrt { 1 3 },\sqrt { 3 ^ { 2 } + 2 ^ { 2 } } = \sqrt { 1 3 },276x97,276x97,true
23_em_58,identical,z ^ { d } + z,z ^ { d } + z,220x93,220x93,true
23_em_59,identical,\sum _ { r = 1 } ^ { n } a r ^ { b } = a \sum _ { r = 1 } ^ { n } r ^ { b },\sum _ { r = 1 } ^ { n } a r ^ { b } = a \sum _ { r = 1 } ^ { n } r ^ { b },530x204,530x204,true
23_em_60,identical,\frac { 2 } { 3 } + \frac { 1 } { 9 } = ( \frac { 7 } { 9 } ),\frac { 2 } { 3 } + \frac { 1 } { 9 } = ( \frac { 7 } { 9 } ),263x114,263x114,true
23_em_61,identical,\cos 2 \alpha,\cos 2 \alpha,269x71,269x71,true
23_em_62,identical,t ^ { 2 } + t + x,t ^ { 2 } + t + x,271x81,271x81,true
23_em_63,identical,F = \sqrt { F _ { x } ^ { 2 } + F _ { y } ^ { 2 } },F = \sqrt { F _ { x } ^ { 2 } + F _ { y } ^ { 2 } },316x107,316x107,true
23_em_64,identical,\log _ { e } x,\log _ { e } x,184x91,184x91,true
23_em_65,identical,f ( n - 1 ),f ( n - 1 ),118x65,118x65,true
23_em_66,identical,z ^ { 3 } + z = z,z ^ { 3 } + z = z,226x83,226x83,true
23_em_67,identical,2 ( ( x + 2 ) ^ { 2 } - 4 + 1 ),2 ( ( x + 2 ) ^ { 2 } - 4 + 1 ),245x89,245x89,true
23_em_68,identical,\frac { q - p } { \sqrt { p q } },\frac { q - p } { \sqrt { p q } },162x169,162x169,true
23_em_69,identical,X \leq 1 5,X \leq 1 5,159x71,159x71,true
23_em_70,identical,\alpha + \beta = \beta + \alpha,\alpha + \beta = \beta + \alpha,280x68,280x68,true
23_em_71,identical,c T ^ { \prime },c T ^ { \prime },113x87,113x87,true
23_em_72,identical,\sum _ { i = 1 } ^ { n } x _ { n } = \sum _ { i = 1 } ^ { n } y _ { n },\sum _ { i = 1 } ^ { n } x _ { n } = \sum _ { i = 1 } ^ { n } y _ { n },384x182,384x182,true
23_em_73,identical,B _ { m + 1 },B _ { m + 1 },152x90,152x90,true
26_em_75,identical,1 - 2 a + b - 2 a b = 1 - 2 b + a - 2 a b,1 - 2 a + b - 2 a b = 1 - 2 b + a - 2 a b,797x114,797x114,true
26_em_76,identical,- m p,- m p,126x80,126x80,true
26_em_77,identical,x ^ { i } e _ { i } = \sum _ { i } x ^ { i } e _ { i },x ^ { i } e _ { i } = \sum _ { i } x ^ { i } e _ { i },504x206,504x206,true
26_em_78,identical,1 6 9,1 6 9,79x58,79x58,true
26_em_79,identical,- a + b + c,- a + b + c,173x72,173x72,true
26_em_80,identical,\frac { 3 1 9 } { 2 8 } = 1 1 . 3 9,\frac { 3 1 9 } { 2 8 } = 1 1 . 3 9,311x122,311x122,true
26_em_81,identical,- 2 x + \sin ( 2 x + 2 ) - 2,- 2 x + \sin ( 2 x + 2 ) - 2,411x98,411x98,true
26_em_82,identical,\frac { 1 } { 2 } t ^ { 2 } u ( t ),\frac { 1 } { 2 } t ^ { 2 } u ( t ),266x137,266x137,true
26_em_83,identical,d _ { t } = \frac { a ( t ) - a ( t - 1 ) } { a ( t ) },d _ { t } = \frac { a ( t ) - a ( t - 1 ) } { a ( t ) },379x135,379x135,true
26_em_84,identical,S _ { \infty } = \lim _ { n \rightarrow \infty } \frac { a ( 1 - r ^ { n } ) } { 1 - r } = \frac { a } { 1 - r },S _ { \infty } = \lim _ { n \rightarrow \infty } \frac { a ( 1 - r ^ { n } ) } { 1 - r } = \frac { a } { 1 - r },663x149,663x149,true
26_em_85,identical,\log _ { u } g,\log _ { u } g,134x82,134x82,true
26_em_86,identical,\log _ { a } x,\log _ { a } x,119x94,119x94,true
26_em_87,identical,\int x \cos ( x ) d x = x \sin ( x ) - \int \sin ( x ) d x,\int x \cos ( x ) d x = x \sin ( x ) - \int \sin ( x ) d x,370x129,370x129,true
26_em_88,identical,v ^ { 2 } - v _ { v } ^ { 2 } = v _ { v } ^ { 2 },v ^ { 2 } - v _ { v } ^ { 2 } = v _ { v } ^ { 2 },474x127,474x127,true
26_em_89,identical,x ^ { 2 } + y ^ { 2 } = l _ { 1 } ^ { 2 } + l _ { 2 } ^ { 2 } + 2 l _ { 1 } l _ { 2 } c _ { 2 },x ^ { 2 } + y ^ { 2 } = l _ { 1 } ^ { 2 } + l _ { 2 } ^ { 2 } + 2 l _ { 1 } l _ { 2 } c _ { 2 },533x132,533x132,true
26_em_90,identical,\int \frac { 1 9 } { \sqrt { 9 x - 3 8 } } d x,\int \frac { 1 9 } { \sqrt { 9 x - 3 8 } } d x,281x112,281x112,true
26_em_91,identical,k [ a ^ { - 1 } ],k [ a ^ { - 1 } ],127x73,127x73,true
26_em_92,identical,- \frac { 1 1 \pi } { 8 },- \frac { 1 1 \pi } { 8 },181x129,181x129,true
26_em_93,identical,4 \times 4 + 4 - 4,4 \times 4 + 4 - 4,201x75,201x75,true
26_em_94,identical,[ \frac { 1 } { 2 } \sin ^ { 2 } ( 1 ) ] - [ \frac { 1 } { 2 } \sin ^ { 2 } ( 0 ) ],[ \frac { 1 } { 2 } \sin ^ { 2 } ( 1 ) ] - [ \frac { 1 } { 2 } \sin ^ { 2 } ( 0 ) ],281x123,281x123,true
26_em_95,identical,\sqrt { a } \sqrt { b } = \sqrt { a b },\sqrt { a } \sqrt { b } = \sqrt { a b },216x83,216x83,true
26_em_96,identical,4 + 4 + \frac { 4 } { 4 },4 + 4 + \frac { 4 } { 4 },269x126,269x126,true
26_em_97,identical,\sqrt { - 4 } = \sqrt { - 1 } \sqrt { 4 },\sqrt { - 4 } = \sqrt { - 1 } \sqrt { 4 },217x100,217x100,true
26_em_98,identical,( \sqrt { 2 } x + 2 ) ( x + 3 ),( \sqrt { 2 } x + 2 ) ( x + 3 ),229x106,229x106,true
26_em_99,identical,"1 0 , 0 0 0 + 1 , 0 0 0 = 1 1 , 0 0 0","1 0 , 0 0 0 + 1 , 0 0 0 = 1 1 , 0 0 0",509x131,509x131,true
27_em_100,identical,\sqrt { 4 5 },\sqrt { 4 5 },76x66,76x66,true
27_em_101,identical,1 + \sqrt { 5 } = x _ { 1 } + y _ { 1 } \sqrt { 5 },1 + \sqrt { 5 } = x _ { 1 } + y _ { 1 } \sqrt { 5 },386x88,386x88,true
27_em_102,identical,\lim _ { a \rightarrow \infty } f ( a ),\lim _ { a \rightarrow \infty } f ( a ),240x105,240x105,true
27_em_103,identical,\exists y \exists x F,\exists y \exists x F,130x78,130x78,true
27_em_104,identical,w = q _ { H } - q _ { C },w = q _ { H } - q _ { C },226x70,226x70,true
27_em_105,identical,( a - 2 x ) ( a + 2 x ),( a - 2 x ) ( a + 2 x ),249x74,249x74,true
27_em_106,identical,\alpha ^ { 2 } + \beta ^ { 2 } = ( \alpha + \beta ) ^ { 2 } - 2 \alpha \beta,\alpha ^ { 2 } + \beta ^ { 2 } = ( \alpha + \beta ) ^ { 2 } - 2 \alpha \beta,449x83,449x83,true
27_em_107,identical,\int k x ^ { n } d x = k \int x ^ { n } d x,\int k x ^ { n } d x = k \int x ^ { n } d x,347x120,347x120,true
27_em_108,identical,0 + A,0 + A,97x64,97x64,true
27_em_109,identical,f ^ { ( i + k ) } ( 0 ) = f ^ { ( i ) } ( 0 ) f ^ { ( k ) } ( 0 ),f ^ { ( i + k ) } ( 0 ) = f ^ { ( i ) } ( 0 ) f ^ { ( k ) } ( 0 ),345x99,345x99,true
27_em_110,identical,( 2 9 ) - 2 ( 1 6 ) + ( 3 ) = 2 9 - 3 2 + 3 = 0,( 2 9 ) - 2 ( 1 6 ) + ( 3 ) = 2 9 - 3 2 + 3 = 0,491x78,491x78,true
27_em_111,identical,x ^ { 2 } - y ^ { 2 } = x ^ { 2 } + 2 x y + y ^ { 2 } - 2 x y - 2 y ^ { 2 },x ^ { 2 } - y ^ { 2 } = x ^ { 2 } + 2 x y + y ^ { 2 } - 2 x y - 2 y ^ { 2 },821x121,821x121,true
27_em_112,identical,M _ { 3 },M _ { 3 },64x67,64x67,true
27_em_113,identical,x = \frac { a f ( b ) - b f ( a ) } { f ( b ) - f ( a ) },x = \frac { a f ( b ) - b f ( a ) } { f ( b ) - f ( a ) },321x149,321x149,true
27_em_114,identical,\int \sin 2 \theta d \theta,\int \sin 2 \theta d \theta,186x122,186x122,true
27_em_115,identical,7 \sqrt { 2 },7 \sqrt { 2 },79x64,79x64,true
27_em_116,identical,v _ { 7 } + v _ { 3 } + v _ { 4 } - v _ { 8 } = 0,v _ { 7 } + v _ { 3 } + v _ { 4 } - v _ { 8 } = 0,468x85,468x85,true
27_em_117,identical,\cos \theta \sin \theta + \theta + \theta ^ { 2 },\cos \theta \sin \theta + \theta + \theta ^ { 2 },529x98,529x98,true
27_em_118,identical,\sqrt { 3 2 } + \sqrt { 3 2 },\sqrt { 3 2 } + \sqrt { 3 2 },213x84,213x84,true
27_em_119,identical,6 7 7 8,6 7 7 8,169x68,169x68,true
27_em_120,identical,\sqrt { 1 5 },\sqrt { 1 5 },69x65,69x65,true
27_em_121,identical,1 - z + z ^ { 2 } - z ^ { 3 } + z ^ { 4 } - z ^ { 5 } + \ldots,1 - z + z ^ { 2 } - z ^ { 3 } + z ^ { 4 } - z ^ { 5 } + \ldots,692x115,692x115,true
27_em_122,identical,\pm \sqrt [ x ] { b },\pm \sqrt [ x ] { b },123x82,123x82,true
27_em_123,identical,\int 2 x ^ { - 2 } d x,\int 2 x ^ { - 2 } d x,170x102,170x102,true
27_em_124,identical,a \div b,a \div b,201x95,201x95,true
28_em_125,identical,\frac { 2 } { \sqrt { 2 + \sqrt { 2 } } },\frac { 2 } { \sqrt { 2 + \sqrt { 2 } } },248x151,248x151,true
28_em_126,identical,\frac { \sum _ { k = 1 } ^ { N } k ^ { 2 } } { a },\frac { \sum _ { k = 1 } ^ { N } k ^ { 2 } } { a },324x215,324x215,true
28_em_127,identical,"X , X _ { t }","X , X _ { t }",208x77,208x77,true
28_em_128,identical,\frac { x ^ { 2 } } { 9 } - \frac { y ^ { 2 } } { 4 9 } = 1,\frac { x ^ { 2 } } { 9 } - \frac { y ^ { 2 } } { 4 9 } = 1,599x190,599x190,true
28_em_129,identical,- \frac { 1 } { \sqrt { 2 } } ( \frac { b } { \sqrt { 2 } } - 0 ),- \frac { 1 } { \sqrt { 2 } } ( \frac { b } { \sqrt { 2 } } - 0 ),308x105,308x105,true
28_em_130,identical,\log x + \log y = \log x y,\log x + \log y = \log x y,509x112,509x112,true
28_em_131,identical,z y + 2 z y + 2 z + 2 y,z y + 2 z y + 2 z + 2 y,426x101,426x101,true
28_em_132,identical,S / V,S / V,82x67,82x67,true
28_em_133,identical,3 = \frac { 3 } { 2 } ( 3 ^ { 1 } - 1 ) = 3,3 = \frac { 3 } { 2 } ( 3 ^ { 1 } - 1 ) = 3,357x105,357x105,true
28_em_134,identical,\frac { n _ { A } } { n },\frac { n _ { A } } { n },191x143,191x143,true
28_em_135,identical,e _ { 2 } - 2 e _ { 1 },e _ { 2 } - 2 e _ { 1 },414x128,414x128,true
28_em_136,identical,\pi _ { t + 1 },\pi _ { t + 1 },144x83,144x83,true
28_em_137,identical,"3 , 4 , 5 , 6 , \ldots","3 , 4 , 5 , 6 , \ldots",829x117,829x117,true
28_em_138,identical,R _ { 0 } ^ { 0 },R _ { 0 } ^ { 0 },80x75,80x75,true
28_em_139,identical,x y x + x y + y x + y = x ^ { 2 } y + x y + x y + y,x y x + x y + y x + y = x ^ { 2 } y + x y + x y + y,641x96,641x96,true
28_em_140,identical,3 ( - 5 ) ^ { 2 } + 3 ( - 5 - 2 ) - ( - 5 ) ( 2 ) ^ { 2 },3 ( - 5 ) ^ { 2 } + 3 ( - 5 - 2 ) - ( - 5 ) ( 2 ) ^ { 2 },501x95,501x95,true
28_em_141,identical,\frac { 2 A B } { A + B },\frac { 2 A B } { A + B },190x126,190x126,true
28_em_142,identical,\frac { 4 4 4 6 7 } { 3 8 9 7 3 },\frac { 4 4 4 6 7 } { 3 8 9 7 3 },243x129,243x129,true
28_em_143,identical,[ [ S ] ] = [ S ],[ [ S ] ] = [ S ],271x73,271x73,true
28_em_144,identical,\sum _ { i } k _ { i },\sum _ { i } k _ { i },208x126,208x126,true
28_em_145,identical,f ( x ) = \frac { \infty } { \infty },f ( x ) = \frac { \infty } { \infty },245x93,245x93,true
28_em_146,identical,\frac { 1 9 9 } { 1 1 },\frac { 1 9 9 } { 1 1 },131x92,131x92,true
28_em_147,identical,[ B ],[ B ],87x65,87x65,true
28_em_148,identical,x ( t ) = x _ { 1 } ( t ) + x _ { 2 } ( t ),x ( t ) = x _ { 1 } ( t ) + x _ { 2 } ( t ),432x86,432x86,true
28_em_149,identical,\frac { 1 } { x + y } - \frac { 1 } { x - y } = \frac { - 2 y } { x ^ { 2 } - y ^ { 2 } },\frac { 1 } { x + y } - \frac { 1 } { x - y } = \frac { - 2 y } { x ^ { 2 } - y ^ { 2 } },507x140,507x140,true
29_em_150,identical,6 0 ^ { o },6 0 ^ { o },100x79,100x79,true
29_em_151,identical,P a,P a,84x73,84x73,true
29_em_152,identical,\sqrt { - n } = i \sqrt { n },\sqrt { - n } = i \sqrt { n },234x70,234x70,true
29_em_153,identical,( a - b ) ^ { 2 } = a ^ { 2 } - 2 a b + b ^ { 2 },( a - b ) ^ { 2 } = a ^ { 2 } - 2 a b + b ^ { 2 },536x109,536x109,true
29_em_154,identical,\frac { 4 z - 5 } { ( z - 1 ) ( z - 2 ) },\frac { 4 z - 5 } { ( z - 1 ) ( z - 2 ) },215x139,215x139,true
29_em_155,identical,z ^ { 5 } + z = z,z ^ { 5 } + z = z,310x107,310x107,true
