id,tamer_dimensions,reference_dimensions,pixels_equal
UN19_1013_em_184,89x80,141x124,false
UN19_1019_em_266,60x58,141x135,false
UN19_1045_em_658,77x58,107x78,false
UN19wb_1119_em_1168,63x55,117x97,false
UN19_1022_em_307,95x63,128x82,false
UN19_1051_em_742,70x56,179x133,false
UN19wb_1109_em_1008,97x55,65x43,false
UN19_1008_em_112,63x71,65x73,false
UN19_1028_em_396,92x65,123x84,false
UN19_1002_em_16,65x55,81x67,false
UN19wb_1114_em_1080,68x71,175x187,false
UN19_1010_em_142,69x55,134x100,false
UN19wb_1109_em_1016,152x59,116x50,false
UN19_1049_em_707,83x63,152x108,false
UN19_1037_em_534,141x91,253x154,false
UN19_1030_em_429,124x66,243x115,false
UN19_1043_em_620,135x72,357x167,false
UN19_1046_em_674,108x105,87x85,false
UN19_1008_em_113,129x60,130x61,false
ISICal19_1211_em_885,126x62,176x82,false
UN19_1023_em_322,156x59,159x60,false
UN19_1013_em_187,114x82,231x157,false
UN19wb_1117_em_1129,91x55,188x99,false
UN19_1026_em_371,193x88,169x80,false
UN19_1002_em_23,127x76,186x106,false
UN19_1051_em_738,120x61,230x104,false
UN19_1021_em_286,164x59,247x79,false
ISICal19_1211_em_888,160x70,160x70,false
UN19wb_1110_em_1025,100x58,177x91,false
UN19_1043_em_629,130x72,389x186,false
UN19_1020_em_282,117x64,236x111,false
ISICal19_1209_em_856,108x62,167x89,false
UN19_1010_em_143,189x76,201x80,false
ISICal19_1203_em_783,154x78,162x83,false
UN19_1028_em_390,82x67,145x111,false
UN19_1019_em_256,111x83,117x86,false
UN19_1020_em_284,115x60,240x108,false
UN19_1025_em_350,160x77,128x65,false
UN19wb_1105_em_952,104x81,117x91,false
UN19wb_1103_em_928,117x70,150x87,false
ISICal19_1210_em_874,179x59,126x48,false
UN19_1016_em_224,188x59,431x108,false
UN19_1012_em_171,89x64,203x136,false
UN19_1008_em_110,93x80,115x99,false
ISICal19_1210_em_872,134x78,135x79,false
ISICal19_1207_em_849,181x92,210x105,false
UN19_1042_em_601,165x99,232x136,false
ISICal19_1210_em_879,103x74,101x73,false
UN19_1050_em_727,145x67,176x79,false
UN19_1022_em_314,83x62,133x93,false
UN19_1050_em_732,131x68,184x90,false
UN19_1038_em_551,149x71,212x95,false
UN19wb_1110_em_1023,341x61,190x45,false
UN19_1038_em_553,125x59,296x115,false
UN19_1033_em_472,141x75,252x123,false
UN19wb_1111_em_1043,83x80,102x98,false
UN19_1046_em_669,158x78,160x80,false
ISICal19_1207_em_852,223x82,247x89,false
UN19_1046_em_670,121x79,115x76,false
UN19_1029_em_417,288x98,171x67,false
ISICal19_1209_em_864,105x82,206x154,false
UN19wb_1105_em_947,78x78,151x151,false
UN19_1042_em_604,157x79,212x100,false
UN19_1021_em_289,124x62,234x102,false
UN19_1015_em_207,112x71,146x89,false
UN19_1044_em_642,153x69,338x134,false
UN19_1033_em_465,219x87,376x137,false
UN19_1051_em_740,133x64,334x137,false
UN19_1027_em_377,153x69,260x106,false
UN19_1045_em_659,87x80,173x154,false
UN19wb_1105_em_946,187x61,296x85,false
UN19_1041_em_590,103x60,269x134,false
UN19_1044_em_630,147x75,451x199,false
UN19wb_1114_em_1084,101x62,138x80,false
UN19_1035_em_496,168x81,223x103,false
UN19_1047_em_679,73x80,132x147,false
UN19wb_1121_em_1190,151x72,118x60,false
UN19_1039_em_568,136x76,231x119,false
UN19_1018_em_250,206x81,162x69,false
UN19_1041_em_598,135x91,334x208,false
UN19_1028_em_402,116x99,191x158,false
UN19_1010_em_146,80x78,111x109,false
UN19_1011_em_159,80x91,132x152,false
UN19wb_1104_em_931,189x79,169x73,false
UN19_1004_em_53,154x70,315x126,false
UN19_1032_em_453,242x65,345x84,false
UN19wb_1110_em_1020,124x62,183x84,false
UN19_1008_em_116,220x79,186x71,false
UN19_1001_em_0,65x80,65x80,false
UN19_1045_em_655,279x76,305x82,false
UN19_1024_em_336,178x66,307x100,false
UN19wb_1118_em_1149,161x72,245x100,false
UN19wb_1121_em_1195,105x71,110x74,false
UN19wb_1107_em_983,65x75,82x97,false
UN19_1023_em_326,167x67,193x74,false
UN19_1021_em_294,184x80,265x108,false
ISICal19_1206_em_835,132x77,153x87,false
UN19_1001_em_5,135x93,139x95,false
UN19_1017_em_231,225x60,207x58,false
UN19_1026_em_372,141x95,128x87,false
UN19_1006_em_77,312x87,566x141,false
UN19_1031_em_448,137x70,314x142,false
UN19_1043_em_624,129x83,349x207,false
UN19_1008_em_111,85x67,102x80,false
UN19_1026_em_370,150x71,217x96,false
UN19_1050_em_726,108x58,195x93,false
UN19_1013_em_185,128x59,372x139,false
UN19_1038_em_546,178x80,265x111,false
UN19_1023_em_327,192x81,274x110,false
UN19wb_1109_em_1017,115x60,119x63,false
UN19wb_1110_em_1034,117x103,147x128,false
UN19_1043_em_621,134x78,367x191,false
UN19_1008_em_109,196x92,187x89,false
UN19_1029_em_412,125x71,243x125,false
UN19_1017_em_230,100x72,137x94,false
UN19wb_1108_em_994,97x82,131x108,false
UN19wb_1121_em_1196,107x62,116x67,false
UN19wb_1116_em_1114,146x86,154x91,false
UN19wb_1112_em_1057,174x57,243x73,false
UN19_1010_em_147,173x73,267x103,false
UN19_1032_em_456,387x104,401x108,false
UN19_1032_em_452,118x72,277x152,false
UN19_1016_em_218,148x80,440x210,false
UN19_1022_em_309,172x65,191x71,false
UN19wb_1105_em_950,126x77,148x89,false
UN19_1050_em_733,217x73,230x78,false
UN19_1006_em_79,144x62,388x137,false
UN19_1033_em_477,151x83,197x104,false
UN19wb_1108_em_995,251x77,193x65,false
UN19_1042_em_611,123x70,275x140,false
UN19_1009_em_124,107x75,234x153,false
ISICal19_1204_em_799,184x72,182x73,false
UN19_1016_em_215,134x81,312x173,false
ISICal19_1203_em_793,109x83,85x67,false
UN19_1032_em_461,311x109,344x120,false
UN19_1017_em_236,227x79,581x173,false
UN19wb_1103_em_927,201x69,299x94,false
UN19_1034_em_485,278x74,502x119,false
UN19_1044_em_644,102x91,215x189,false
UN19_1027_em_375,531x70,402x60,false
UN19_1018_em_241,184x73,375x132,false
UN19wb_1107_em_988,315x82,261x73,false
UN19wb_1106_em_966,174x69,261x95,false
UN19wb_1112_em_1053,195x59,290x78,false
UN19_1002_em_17,492x112,242x67,false
UN19_1039_em_567,258x68,393x94,false
UN19_1042_em_602,177x73,217x85,false
UN19_1021_em_296,187x72,307x107,false
UN19_1009_em_128,196x80,329x123,false
UN19_1041_em_588,203x77,347x119,false
UN19wb_1120_em_1171,354x88,286x76,false
