id,tamer_dimensions,reference_dimensions,pixels_equal
200924-1331-216,26x54,26x54,true
200923-131-185,27x54,27x54,true
200923-1553-117,27x54,27x54,true
200923-1251-17,28x54,28x54,true
200923-1556-256,28x54,28x54,true
200923-1254-165,28x54,28x54,true
200923-1254-243,28x54,28x54,true
200923-1254-166,28x54,28x54,true
200923-1553-144,29x54,29x54,true
200923-1251-111,30x54,30x54,true
200926-131-59,31x54,31x54,true
2009212-952-76,33x54,33x54,true
200923-1251-203,34x54,34x54,true
200924-1331-58,34x54,34x54,true
200923-131-63,35x54,35x54,true
200923-1253-130,35x54,35x54,true
2009213-139-16,35x54,35x54,true
2009213-139-221,36x54,36x54,true
200923-1553-222,36x54,36x54,true
200924-1312-297,36x54,36x54,true
200925-1126-180,36x54,36x54,true
200923-1251-264,36x54,36x54,true
200923-131-190,36x54,36x54,true
2009210-947-94,36x54,36x54,true
2009210-947-176,36x54,36x54,true
200923-1251-246,32x62,32x62,true
200923-1251-11,37x54,37x54,true
200925-1126-64,37x54,37x54,true
2009210-947-113,37x54,37x54,true
200923-1553-238,38x54,38x54,true
200923-131-243,38x54,38x54,true
2009213-137-131,38x54,38x54,true
200924-1331-106,38x54,38x54,true
2009212-1031-137,38x54,38x54,true
200923-1553-124,38x54,38x54,true
200922-947-9,38x54,38x54,true
200922-949-221,38x54,38x54,true
200925-1126-176,38x54,38x54,true
2009213-137-145,38x54,38x54,true
200923-131-197,38x54,38x54,true
200923-1253-210,39x54,39x54,true
2009210-947-201,39x54,39x54,true
200922-949-191,39x54,39x54,true
200923-1553-187,39x54,39x54,true
200923-131-304,39x54,39x54,true
2009213-137-236,39x54,39x54,true
2009212-952-82,39x54,39x54,true
200923-131-167,39x54,39x54,true
200925-1126-51,39x54,39x54,true
200923-131-309,39x54,39x54,true
200923-1253-101,39x54,39x54,true
200923-1254-340,39x54,39x54,true
200926-131-101,39x54,39x54,true
200923-1251-173,39x54,39x54,true
200922-1017-113,39x54,39x54,true
2009212-1031-45,39x54,39x54,true
200924-1331-88,39x54,39x54,true
200923-131-82,28x77,28x77,true
200923-1553-122,40x54,40x54,true
2009213-137-69,40x54,40x54,true
200922-1017-101,40x54,40x54,true
2009210-947-179,40x54,40x54,true
200922-947-227,40x54,40x54,true
2009212-1031-42,40x54,40x54,true
200924-1331-52,40x54,40x54,true
200922-947-129,40x54,40x54,true
200923-131-311,40x54,40x54,true
200923-131-28,40x54,40x54,true
200924-1312-115,41x54,41x54,true
200923-1251-119,41x54,41x54,true
200923-1253-289,41x54,41x54,true
200926-131-141,41x54,41x54,true
200926-131-183,41x54,41x54,true
2009212-1031-63,41x54,41x54,true
200926-1617-156,41x54,41x54,true
200923-1553-309,41x54,41x54,true
200923-131-356,41x54,41x54,true
200922-949-164,41x54,41x54,true
200923-1553-152,41x54,41x54,true
200925-1126-81,41x54,41x54,true
200922-947-168,41x54,41x54,true
2009210-947-114,37x60,37x60,true
200923-131-267,35x64,35x64,true
200926-1617-161,42x54,42x54,true
200925-1126-69,42x54,42x54,true
200922-1017-93,42x54,42x54,true
200923-131-360,42x54,42x54,true
2009213-137-138,42x54,42x54,true
200924-1331-292,42x54,42x54,true
200923-1553-195,36x63,36x63,true
200926-1617-193,42x54,42x54,true
200924-1331-112,42x54,42x54,true
200923-1251-175,42x54,42x54,true
2009212-952-11,42x54,42x54,true
2009213-139-135,42x54,42x54,true
200922-1017-145,43x54,43x54,true
200923-1556-172,43x54,43x54,true
2009213-139-45,43x54,43x54,true
200923-1251-125,43x54,43x54,true
2009213-139-246,43x54,43x54,true
200922-1017-75,43x54,43x54,true
200924-1331-21,43x54,43x54,true
200924-1331-59,43x54,43x54,true
2009210-947-146,43x54,43x54,true
200923-1254-253,43x54,43x54,true
200922-949-91,43x54,43x54,true
200923-1253-249,43x54,43x54,true
200926-131-131,43x54,43x54,true
200923-131-126,43x54,43x54,true
200923-1254-242,43x54,43x54,true
200923-1251-210,43x54,43x54,true
2009213-137-159,43x54,43x54,true
200923-1553-130,43x54,43x54,true
200923-131-29,43x54,43x54,true
2009213-137-64,43x54,43x54,true
200922-949-243,43x54,43x54,true
200922-947-191,43x54,43x54,true
200924-1312-298,43x54,43x54,true
200924-1331-105,37x63,37x63,true
200923-131-323,37x64,37x64,true
200922-949-5,44x54,44x54,true
200925-1126-184,44x54,44x54,true
200922-949-271,44x54,44x54,true
200922-949-181,44x54,44x54,true
200924-1312-33,44x54,44x54,true
200923-1553-188,44x54,44x54,true
2009213-139-129,44x54,44x54,true
200922-949-99,44x54,44x54,true
200926-1550-144,44x54,44x54,true
200923-1254-142,44x54,44x54,true
2009210-947-70,41x58,41x58,true
2009210-947-221,39x61,39x61,true
2009212-952-29,34x70,34x70,true
2009210-947-77,38x63,38x63,true
2009210-947-119,43x56,43x56,true
2009212-1031-51,35x69,35x69,true
2009212-1031-56,45x54,45x54,true
2009212-1031-150,45x54,45x54,true
200924-1312-289,45x54,45x54,true
200923-1254-296,45x54,45x54,true
200923-1254-213,45x54,45x54,true
2009212-1031-76,45x54,45x54,true
2009220-1327-52,45x54,45x54,true
200923-1556-228,45x54,45x54,true
200923-1553-228,45x54,45x54,true
200922-949-260,45x54,45x54,true
200926-1617-214,45x54,45x54,true
2009213-139-228,43x57,43x57,true
2009212-1031-36,33x75,33x75,true
200922-949-215,46x54,46x54,true
200926-131-69,46x54,46x54,true
200923-1556-190,46x54,46x54,true
2009213-137-137,46x54,46x54,true
200922-1017-141,46x54,46x54,true
2009210-947-105,46x54,46x54,true
200923-1251-106,46x54,46x54,true
200926-131-152,46x54,46x54,true
200924-1331-116,46x54,46x54,true
200922-949-266,46x54,46x54,true
200923-1553-34,46x54,46x54,true
200922-947-177,46x54,46x54,true
200923-1553-196,46x54,46x54,true
200924-1331-268,46x54,46x54,true
200923-1254-107,39x64,39x64,true
200923-1254-141,44x57,44x57,true
200922-947-192,45x56,45x56,true
2009210-947-207,39x65,39x65,true
200926-1617-246,47x54,47x54,true
200923-1553-183,47x54,47x54,true
200922-949-270,47x54,47x54,true
200922-947-143,47x54,47x54,true
200923-1556-153,47x54,47x54,true
200922-1017-142,47x54,47x54,true
200926-1617-220,47x54,47x54,true
2009213-137-171,47x54,47x54,true
200926-1550-126,47x54,47x54,true
200924-1312-15,47x54,47x54,true
2009212-952-104,47x54,47x54,true
200926-1617-252,47x54,47x54,true
200923-1251-229,47x54,47x54,true
200922-1017-41,47x54,47x54,true
200923-131-233,47x54,47x54,true
200926-1617-150,47x54,47x54,true
2009212-952-115,44x58,44x58,true
2009212-1031-14,44x58,44x58,true
200922-949-140,36x71,36x71,true
200923-131-81,45x57,45x57,true
2009210-947-122,46x56,46x56,true
200922-947-40,46x56,46x56,true
200922-949-185,46x56,46x56,true
200924-1331-158,48x54,48x54,true
200924-1312-114,48x54,48x54,true
200923-1556-251,48x54,48x54,true
200922-1017-77,48x54,48x54,true
200926-1550-27,48x54,48x54,true
2009213-137-188,48x54,48x54,true
200923-1254-334,48x54,48x54,true
200924-1331-220,48x54,48x54,true
200923-1253-116,48x54,48x54,true
200922-947-176,48x54,48x54,true
2009212-952-120,48x54,48x54,true
200922-949-40,48x54,48x54,true
2009213-139-211,48x54,48x54,true
200923-1251-83,48x54,48x54,true
200924-1331-260,45x58,45x58,true
200923-131-361,39x67,39x67,true
2009213-137-170,39x67,39x67,true
200923-131-324,38x69,38x69,true
200922-1017-47,46x57,46x57,true
200923-131-74,46x57,46x57,true
200922-1017-83,37x71,37x71,true
200924-1331-104,49x54,49x54,true
2009210-947-21,49x54,49x54,true
2009212-952-59,49x54,49x54,true
2009212-952-108,49x54,49x54,true
2009210-947-220,49x54,49x54,true
200923-1253-15,49x54,49x54,true
2009210-947-172,49x54,49x54,true
200923-1254-302,49x54,49x54,true
200922-949-180,49x54,49x54,true
200923-1251-252,49x54,49x54,true
200922-1017-148,41x65,41x65,true
200923-1251-137,47x57,47x57,true
200923-1553-23,40x67,40x67,true
200923-131-303,40x67,40x67,true
2009213-137-228,42x64,42x64,true
200923-1251-245,50x54,50x54,true
200923-1254-168,50x54,50x54,true
200922-947-200,50x54,50x54,true
2009210-947-87,50x54,50x54,true
2009213-137-132,45x60,45x60,true
200923-1254-169,50x54,50x54,true
2009213-139-157,50x54,50x54,true
2009213-139-152,50x54,50x54,true
200924-1331-117,50x54,50x54,true
200923-131-349,50x54,50x54,true
2009210-947-93,50x54,50x54,true
200924-1331-145,42x65,42x65,true
200923-1553-167,48x57,48x57,true
200924-1312-287,37x74,37x74,true
200923-1553-3,49x56,49x56,true
2009213-137-210,45x61,45x61,true
200924-1331-122,51x54,51x54,true
200922-949-109,51x54,51x54,true
