id,tamer_dimensions,reference_dimensions,pixels_equal
UN_131_em_1083,74x68,74x68,true
UN_133_em_1133,96x55,96x55,true
UN_454_em_695,65x56,65x56,true
UN_465_em_965,69x58,69x58,true
UN_460_em_831,123x64,123x64,true
UN_131_em_1080,107x54,107x54,true
UN_456_em_738,92x59,92x59,true
UN_120_em_425,124x67,124x67,true
UN_121_em_466,139x69,139x69,true
UN_453_em_651,151x69,151x69,true
UN_127_em_597,120x70,120x70,true
UN_129_em_1045,98x56,98x56,true
UN_123_em_507,123x59,123x59,true
UN_107_em_153,117x75,117x75,true
UN_109_em_222,78x58,78x58,true
UN_114_em_310,192x78,192x78,true
UN_451_em_617,78x59,78x59,true
UN_458_em_784,98x60,98x60,true
UN_122_em_481,141x86,141x86,true
UN_110_em_232,158x69,158x69,true
UN_124_em_531,103x63,103x63,true
UN_123_em_496,60x58,60x58,true
UN_456_em_741,91x58,91x58,true
UN_116_em_331,58x65,58x65,true
UN_122_em_491,138x76,138x76,true
UN_103_em_51,166x62,166x62,true
UN_455_em_723,247x80,247x80,true
UN_102_em_30,144x65,144x65,true
UN_106_em_131,135x69,135x69,true
UN_453_em_672,129x94,129x94,true
UN_461_em_857,132x70,132x70,true
UN_457_em_767,96x64,96x64,true
UN_464_em_925,124x66,124x66,true
UN_451_em_622,125x67,125x67,true
UN_133_em_1135,129x66,129x66,true
UN_120_em_439,269x64,269x64,true
UN_103_em_69,78x81,78x81,true
UN_132_em_1106,126x94,126x94,true
UN_120_em_419,98x71,98x71,true
UN_101_em_20,181x74,181x74,true
UN_107_em_167,143x71,143x71,true
UN_453_em_650,103x59,103x59,true
UN_121_em_467,108x65,108x65,true
UN_462_em_899,78x77,78x77,true
UN_102_em_41,132x81,132x81,true
UN_107_em_159,130x75,130x75,true
UN_113_em_289,165x64,165x64,true
UN_131_em_1093,138x74,138x74,true
UN_111_em_261,213x112,213x112,true
UN_457_em_757,81x85,81x85,true
UN_459_em_812,71x73,71x73,true
UN_106_em_134,175x72,175x72,true
UN_117_em_365,118x90,118x90,true
UN_116_em_326,92x70,92x70,true
UN_133_em_1126,170x68,170x68,true
UN_131_em_1089,82x82,82x82,true
UN_457_em_752,136x71,136x71,true
UN_107_em_172,165x73,165x73,true
UN_129_em_1042,121x58,121x58,true
UN_462_em_895,134x68,134x68,true
UN_455_em_702,75x84,75x84,true
UN_105_em_120,123x76,123x76,true
UN_109_em_219,95x81,95x81,true
UN_459_em_808,119x76,119x76,true
UN_104_em_96,107x63,107x63,true
UN_119_em_394,163x75,163x75,true
UN_103_em_72,70x67,70x67,true
UN_119_em_414,73x72,73x72,true
UN_109_em_211,77x71,77x71,true
UN_133_em_1128,99x56,99x56,true
UN_451_em_621,59x92,59x92,true
UN_130_em_1073,80x69,80x69,true
UN_458_em_776,72x72,72x72,true
UN_102_em_49,67x74,67x74,true
UN_122_em_479,76x75,76x75,true
UN_451_em_610,82x72,82x72,true
UN_451_em_612,69x73,69x73,true
UN_105_em_122,91x92,91x92,true
UN_452_em_639,68x78,68x78,true
UN_123_em_513,133x67,133x67,true
UN_134_em_1149,338x82,338x82,true
UN_130_em_1069,120x63,120x63,true
UN_112_em_282,127x71,127x71,true
UN_133_em_1117,98x73,98x73,true
UN_462_em_878,94x71,94x71,true
UN_132_em_1107,148x83,148x83,true
UN_111_em_250,228x58,228x58,true
UN_465_em_950,125x76,125x76,true
UN_458_em_798,143x67,143x67,true
UN_463_em_908,133x81,133x81,true
UN_118_em_377,160x58,160x58,true
UN_111_em_258,153x68,153x68,true
UN_119_em_400,171x76,171x76,true
UN_461_em_858,109x65,109x65,true
UN_465_em_969,82x61,82x61,true
UN_460_em_847,88x66,88x66,true
UN_464_em_934,134x64,134x64,true
UN_466_em_982,126x87,126x87,true
UN_117_em_346,210x83,210x83,true
UN_120_em_433,219x66,219x66,true
UN_121_em_456,185x65,185x65,true
UN_458_em_780,238x76,238x76,true
UN_113_em_291,182x73,182x73,true
UN_456_em_733,155x70,155x70,true
UN_464_em_930,201x85,201x85,true
UN_107_em_150,182x72,182x72,true
UN_451_em_620,141x69,141x69,true
UN_454_em_689,185x77,185x77,true
UN_457_em_761,191x70,191x70,true
UN_466_em_997,84x86,84x86,true
UN_103_em_52,244x78,244x78,true
UN_107_em_165,297x83,297x83,true
UN_108_em_188,105x59,105x59,true
UN_118_em_386,164x56,164x56,true
UN_119_em_415,247x76,247x76,true
UN_122_em_488,97x74,97x74,true
UN_455_em_716,187x69,187x69,true
UN_105_em_121,108x83,108x83,true
UN_116_em_341,117x73,117x73,true
UN_456_em_729,138x63,138x63,true
UN_105_em_101,153x95,153x95,true
UN_101_em_1,254x99,254x99,true
UN_452_em_643,76x82,76x82,true
UN_128_em_1010,84x84,84x84,true
UN_462_em_875,394x106,394x106,true
UN_456_em_728,178x62,178x62,true
UN_462_em_884,205x70,205x70,true
UN_464_em_946,203x61,203x61,true
UN_105_em_105,183x80,183x80,true
UN_124_em_525,94x66,94x66,true
UN_133_em_1118,206x75,206x75,true
UN_116_em_320,192x60,192x60,true
UN_125_em_559,200x69,200x69,true
UN_125_em_564,173x64,173x64,true
UN_125_em_560,289x69,289x69,true
UN_454_em_698,134x73,134x73,true
UN_464_em_944,98x61,98x61,true
UN_122_em_472,234x80,234x80,true
UN_457_em_758,83x64,83x64,true
UN_460_em_832,146x71,146x71,true
UN_458_em_791,147x84,147x84,true
UN_130_em_1050,91x61,91x61,true
UN_130_em_1052,223x85,223x85,true
UN_116_em_334,139x64,139x64,true
UN_123_em_517,226x78,226x78,true
UN_465_em_958,207x82,207x82,true
UN_129_em_1035,155x61,155x61,true
