id,tamer_dimensions,reference_dimensions,pixels_equal
23_em_52,71x71,71x71,true
513_em_320,55x56,55x56,true
RIT_2014_29,53x54,53x54,true
RIT_2014_95,74x58,74x58,true
RIT_2014_97,66x57,66x57,true
29_em_151,84x73,84x73,true
RIT_2014_57,69x59,69x59,true
517_em_404,78x64,78x64,true
18_em_10,76x56,76x56,true
RIT_2014_187,107x76,107x76,true
516_em_393,95x68,95x68,true
511_em_257,69x68,69x68,true
514_em_330,78x84,78x84,true
510_em_102,158x59,158x59,true
512_em_275,113x67,113x67,true
512_em_288,122x63,122x63,true
515_em_368,124x76,124x76,true
514_em_336,72x66,72x66,true
RIT_2014_156,89x71,89x71,true
RIT_2014_132,101x78,101x78,true
502_em_0,67x56,67x56,true
519_em_445,61x67,61x67,true
512_em_296,62x75,62x75,true
20_em_42,56x57,56x57,true
31_em_187,98x58,98x58,true
RIT_2014_272,72x64,72x64,true
29_em_159,70x55,70x55,true
RIT_2014_9,75x83,75x83,true
509_em_93,66x58,66x58,true
RIT_2014_93,111x69,111x69,true
28_em_132,82x67,82x67,true
508_em_85,67x57,67x57,true
511_em_250,115x64,115x64,true
31_em_189,131x61,131x61,true
RIT_2014_219,131x59,131x59,true
513_em_319,111x70,111x70,true
RIT_2014_125,179x66,179x66,true
23_em_56,132x59,132x59,true
26_em_76,126x80,126x80,true
32_em_203,78x70,78x70,true
RIT_2014_299,99x60,99x60,true
34_em_226,119x62,119x62,true
RIT_2014_122,87x67,87x67,true
37_em_9,79x67,79x67,true
20_em_49,73x57,73x57,true
RIT_2014_13,71x65,71x65,true
511_em_271,118x73,118x73,true
RIT_2014_54,134x68,134x68,true
505_em_52,125x68,125x68,true
RIT_2014_284,90x55,90x55,true
37_em_3,104x55,104x55,true
RIT_2014_291,123x64,123x64,true
RIT_2014_20,63x64,63x64,true
RIT_2014_176,77x58,77x58,true
RIT_2014_277,130x70,130x70,true
34_em_235,107x56,107x56,true
20_em_41,115x64,115x64,true
28_em_147,87x65,87x65,true
513_em_310,107x79,107x79,true
RIT_2014_45,61x63,61x63,true
RIT_2014_292,142x75,142x75,true
20_em_44,175x66,175x66,true
35_em_1,149x62,149x62,true
26_em_78,79x58,79x58,true
RIT_2014_130,91x57,91x57,true
502_em_2,119x66,119x66,true
RIT_2014_40,117x75,117x75,true
RIT_2014_249,73x56,73x56,true
RIT_2014_155,96x63,96x63,true
31_em_178,162x86,162x86,true
RIT_2014_1,99x60,99x60,true
27_em_108,97x64,97x64,true
507_em_75,60x58,60x58,true
34_em_229,64x66,64x66,true
32_em_223,81x70,81x70,true
34_em_227,123x60,123x60,true
509_em_91,151x77,151x77,true
27_em_119,169x68,169x68,true
RIT_2014_34,111x58,111x58,true
RIT_2014_246,108x64,108x64,true
511_em_255,112x59,112x59,true
518_em_436,105x64,105x64,true
20_em_47,224x60,224x60,true
516_em_386,69x66,69x66,true
506_em_59,109x73,109x73,true
36_em_38,118x58,118x58,true
512_em_297,110x61,110x61,true
RIT_2014_151,94x64,94x64,true
516_em_383,108x65,108x65,true
32_em_221,141x80,141x80,true
RIT_2014_118,120x65,120x65,true
27_em_124,201x95,201x95,true
RIT_2014_261,136x77,136x77,true
513_em_302,129x79,129x79,true
29_em_172,193x74,193x74,true
RIT_2014_89,98x65,98x65,true
18_em_16,116x61,116x61,true
515_em_362,206x72,206x72,true
RIT_2014_90,155x81,155x81,true
516_em_395,156x54,156x54,true
RIT_2014_303,144x81,144x81,true
518_em_432,144x84,144x84,true
503_em_32,140x75,140x75,true
501_em_23,84x68,84x68,true
RIT_2014_100,142x75,142x75,true
RIT_2014_310,142x82,142x82,true
RIT_2014_275,143x67,143x67,true
35_em_19,172x72,172x72,true
RIT_2014_236,207x75,207x75,true
500_em_108,121x76,121x76,true
36_em_44,118x68,118x68,true
37_em_15,105x63,105x63,true
36_em_46,117x71,117x71,true
RIT_2014_114,96x66,96x66,true
518_em_424,256x75,256x75,true
RIT_2014_270,171x70,171x70,true
RIT_2014_46,227x84,227x84,true
18_em_19,102x60,102x60,true
518_em_433,86x73,86x73,true
513_em_306,56x73,56x73,true
RIT_2014_285,104x72,104x72,true
20_em_30,53x70,53x70,true
RIT_2014_36,130x59,130x59,true
RIT_2014_139,64x71,64x71,true
32_em_206,117x87,117x87,true
502_em_9,100x64,100x64,true
514_em_346,114x104,114x104,true
501_em_3,51x69,51x69,true
508_em_80,74x68,74x68,true
511_em_273,106x73,106x73,true
32_em_215,103x82,103x82,true
515_em_373,79x66,79x66,true
518_em_423,101x81,101x81,true
27_em_112,64x67,64x67,true
32_em_208,67x73,67x73,true
517_em_411,194x71,194x71,true
516_em_378,268x95,268x95,true
511_em_265,64x71,64x71,true
RIT_2014_233,65x76,65x76,true
RIT_2014_82,101x85,101x85,true
RIT_2014_59,72x78,72x78,true
519_em_463,73x92,73x92,true
502_em_12,73x75,73x75,true
502_em_10,82x68,82x68,true
513_em_313,46x85,46x85,true
RIT_2014_112,69x77,69x77,true
500_em_109,67x90,67x90,true
36_em_28,141x59,141x59,true
23_em_69,159x71,159x71,true
20_em_35,246x79,246x79,true
RIT_2014_35,132x78,132x78,true
36_em_42,153x76,153x76,true
