sample_id,in_san_caption,in_posformer_caption,in_benchmark_csv,in_official_result_zip,posformer_filtered_reason,san_ground_truth,posformer_ground_truth,ground_truth_equal,san_image_file,posformer_image_member,san_height,san_width,posformer_height,posformer_width,same_shape,pixel_exact,pixel_mae,pixel_inverted_mae,binary_exact_threshold_128,binary_inverted_exact_threshold_128,binary_disagreement_fraction,official_posformer_prediction,benchmark_posformer_prediction,prediction_equal,official_posformer_correct,benchmark_posformer_correct,correctness_transition
18_em_0,True,True,True,True,,x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_0_0.bmp,data/2014/img/18_em_0.bmp,85,464,85,464,True,True,0.000000,255.000000,True,False,0.00000000,x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },True,True,True,both_correct
18_em_1,True,True,True,True,,\sqrt { 4 8 },\sqrt { 4 8 },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_1_0.bmp,data/2014/img/18_em_1.bmp,69,105,69,105,True,True,0.000000,255.000000,True,False,0.00000000,\sqrt { 4 8 },\sqrt { 4 8 },True,True,True,both_correct
18_em_10,True,True,True,True,,2 6,2 6,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_10_0.bmp,data/2014/img/18_em_10.bmp,56,76,56,76,True,True,0.000000,255.000000,True,False,0.00000000,2 6,2 6,True,True,True,both_correct
18_em_11,True,True,True,True,,q _ { t } = 2 q,q _ { t } = 2 q,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_11_0.bmp,data/2014/img/18_em_11.bmp,77,191,77,191,True,True,0.000000,255.000000,True,False,0.00000000,q _ { t } = 2 q,q _ { t } = 2 q,True,True,True,both_correct
18_em_12,True,True,True,True,,\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_12_0.bmp,data/2014/img/18_em_12.bmp,173,294,173,294,True,True,0.000000,255.000000,True,False,0.00000000,\frac { p l ^ { t } } { 1 - ( 1 - b ) e ^ { t } },\frac { p l ^ { t } } { 1 - ( 1 - b ) e ^ { t } },True,False,False,both_wrong
18_em_13,True,True,True,True,,4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_13_0.bmp,data/2014/img/18_em_13.bmp,135,291,135,291,True,True,0.000000,255.000000,True,False,0.00000000,4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },True,True,True,both_correct
18_em_14,True,True,True,True,,\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_14_0.bmp,data/2014/img/18_em_14.bmp,204,228,204,228,True,True,0.000000,255.000000,True,False,0.00000000,\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },True,True,True,both_correct
18_em_15,True,True,True,True,,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_15_0.bmp,data/2014/img/18_em_15.bmp,78,334,78,334,True,True,0.000000,255.000000,True,False,0.00000000,k = 1 0 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0 0,True,False,False,both_wrong
18_em_16,True,True,True,True,,m \geq 2,m \geq 2,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_16_0.bmp,data/2014/img/18_em_16.bmp,61,116,61,116,True,True,0.000000,255.000000,True,False,0.00000000,m z 2,m z 2,True,False,False,both_wrong
18_em_17,True,True,True,True,,u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_17_0.bmp,data/2014/img/18_em_17.bmp,117,379,117,379,True,True,0.000000,255.000000,True,False,0.00000000,u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },True,True,True,both_correct
18_em_18,True,True,True,True,,\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_18_0.bmp,data/2014/img/18_em_18.bmp,81,290,81,290,True,True,0.000000,255.000000,True,False,0.00000000,\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },True,True,True,both_correct
18_em_19,True,True,True,True,,y \neq x,y \neq x,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_19_0.bmp,data/2014/img/18_em_19.bmp,60,102,60,102,True,True,0.000000,255.000000,True,False,0.00000000,y \neq x,y \neq x,True,True,True,both_correct
18_em_2,True,True,True,True,,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_2_0.bmp,data/2014/img/18_em_2.bmp,122,897,122,897,True,True,0.000000,255.000000,True,False,0.00000000,( y _ { 1 } ^ { ( n - 1 ) } + ( 2 } y _ { 2 } ^ { ( n - 1 ) } + \cdots + ( n y _ { n } ^ { ( n - 1 ) } = 0,( y _ { 1 } ^ { ( n - 1 ) } + ( 2 } y _ { 2 } ^ { ( n - 1 ) } + \cdots + ( n y _ { n } ^ { ( n - 1 ) } = 0,True,False,False,both_wrong
18_em_20,True,True,True,True,,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_20_0.bmp,data/2014/img/18_em_20.bmp,123,232,123,232,True,True,0.000000,255.000000,True,False,0.00000000,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,True,True,True,both_correct
18_em_21,True,True,True,True,,1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 },1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_21_0.bmp,data/2014/img/18_em_21.bmp,70,466,70,466,True,True,0.000000,255.000000,True,False,0.00000000,1 0 1 1 1 1 1 0 1 4 0 0 0 1 0 1 2,1 0 1 1 1 1 1 0 1 4 0 0 0 1 0 1 2,True,False,False,both_wrong
18_em_22,True,True,True,True,,p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } },p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_22_0.bmp,data/2014/img/18_em_22.bmp,116,417,116,417,True,True,0.000000,255.000000,True,False,0.00000000,p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \ldots p _ { n } ^ { \gamma _ { n } },p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \ldots p _ { n } ^ { \gamma _ { n } },True,False,False,both_wrong
18_em_23,True,True,True,True,,\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_23_0.bmp,data/2014/img/18_em_23.bmp,170,352,170,352,True,True,0.000000,255.000000,True,False,0.00000000,\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },True,True,True,both_correct
18_em_24,True,True,True,True,,\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_24_0.bmp,data/2014/img/18_em_24.bmp,149,278,149,278,True,True,0.000000,255.000000,True,False,0.00000000,\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },True,True,True,both_correct
