sample_id,ground_truth_san_raw,ground_truth_posformer_raw,ground_truth_san_no_limits,ground_truth_posformer_no_limits,gt_equal_raw,gt_equal_after_remove_limits,san_prediction_raw,posformer_prediction_raw,san_prediction_no_limits,posformer_prediction_no_limits,san_correct_normalized_gt_san,posformer_correct_normalized_gt_san,outcome_normalized_gt_san,san_correct_normalized_gt_posformer,posformer_correct_normalized_gt_posformer,outcome_normalized_gt_posformer
18_em_0,x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },True,True,x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },True,True,both_correct,True,True,both_correct
18_em_1,\sqrt { 4 8 },\sqrt { 4 8 },\sqrt { 4 8 },\sqrt { 4 8 },True,True,\sqrt { 4 8 },\sqrt { 4 8 },\sqrt { 4 8 },\sqrt { 4 8 },True,True,both_correct,True,True,both_correct
18_em_10,2 6,2 6,2 6,2 6,True,True,2 6,2 6,2 6,2 6,True,True,both_correct,True,True,both_correct
18_em_11,q _ { t } = 2 q,q _ { t } = 2 q,q _ { t } = 2 q,q _ { t } = 2 q,True,True,q _ { t } = 2 q,q _ { t } = 2 q,q _ { t } = 2 q,q _ { t } = 2 q,True,True,both_correct,True,True,both_correct
18_em_12,\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },True,True,\frac { p l ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p l ^ { t } } { 1 - ( 1 - b ) e ^ { t } },\frac { p l ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p l ^ { t } } { 1 - ( 1 - b ) e ^ { t } },False,False,both_wrong,False,False,both_wrong
18_em_13,4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },True,True,4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },True,True,both_correct,True,True,both_correct
18_em_14,\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },True,True,\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },True,True,both_correct,True,True,both_correct
18_em_15,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0,True,True,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0 0,True,False,san_only,True,False,san_only
18_em_16,m \geq 2,m \geq 2,m \geq 2,m \geq 2,True,True,m z 2,m z 2,m z 2,m z 2,False,False,both_wrong,False,False,both_wrong
18_em_17,u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },True,True,u ( t ) = \frac { u ( 0 ) } { 1 - t ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },False,True,posformer_only,False,True,posformer_only
18_em_18,\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },True,True,\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },True,True,both_correct,True,True,both_correct
18_em_19,y \neq x,y \neq x,y \neq x,y \neq x,True,True,y \neq x,y \neq x,y \neq x,y \neq x,True,True,both_correct,True,True,both_correct
18_em_2,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0,True,True,c _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + ( z y _ { 2 } ^ { ( n - 1 ) } + \ldots + ( n y _ { n } ( n - 1 ),( y _ { 1 } ^ { ( n - 1 ) } + ( 2 } y _ { 2 } ^ { ( n - 1 ) } + \cdots + ( n y _ { n } ^ { ( n - 1 ) } = 0,c _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + ( z y _ { 2 } ^ { ( n - 1 ) } + \ldots + ( n y _ { n } ( n - 1 ),( y _ { 1 } ^ { ( n - 1 ) } + ( 2 } y _ { 2 } ^ { ( n - 1 ) } + \cdots + ( n y _ { n } ^ { ( n - 1 ) } = 0,False,False,both_wrong,False,False,both_wrong
18_em_20,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,True,True,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,True,True,both_correct,True,True,both_correct
18_em_21,1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 },1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 },1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 },1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 },True,True,1 0 1 1 1 1 1 0 1 4 0 0 1 0 L _ { 2 },1 0 1 1 1 1 1 0 1 4 0 0 0 1 0 1 2,1 0 1 1 1 1 1 0 1 4 0 0 1 0 L _ { 2 },1 0 1 1 1 1 1 0 1 4 0 0 0 1 0 1 2,False,False,both_wrong,False,False,both_wrong
