sample_id,status,error,height,width,ground_truth_bttr,ground_truth_posformer,san_prediction,bttr_exact,bttr_no_limits,posformer_exact,posformer_no_limits,time_ms
18_em_0,ok,,85,464,x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },1,1,1,1,37.311500
18_em_10,ok,,56,76,2 6,2 6,2 6,1,1,1,1,155.985300
18_em_11,ok,,77,191,q _ { t } = 2 q,q _ { t } = 2 q,q _ { t } = 2 q,1,1,1,1,123.748500
18_em_12,ok,,173,294,\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p l ^ { t } } { 1 - ( 1 - p ) e ^ { t } },0,0,0,0,155.241300
18_em_13,ok,,135,291,4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },1,1,1,1,158.128500
18_em_14,ok,,204,228,\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },1,1,1,1,157.515200
18_em_15,ok,,78,334,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0,1,1,1,1,135.397200
18_em_16,ok,,61,116,m \geq 2,m \geq 2,m z 2,0,0,0,0,114.786200
18_em_17,ok,,117,379,u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t ( 0 ) },0,0,0,0,146.050900
18_em_18,ok,,81,290,\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },1,1,1,1,117.485200
18_em_19,ok,,60,102,y \neq x,y \neq x,y \neq x,1,1,1,1,113.057500
18_em_1,ok,,69,105,\sqrt { 4 8 },\sqrt { 4 8 },\sqrt { 4 8 },1,1,1,1,106.911400
18_em_20,ok,,123,232,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,1,1,1,1,98.110300
18_em_21,ok,,70,466,1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 },1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 },1 0 1 1 1 1 1 0 1 4 0 0 1 0 L _ { 2 },0,0,0,0,110.797900
18_em_22,ok,,116,417,p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } },p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } },p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \ldots p _ { n } ^ { \gamma _ { n } },0,0,0,0,155.652000
18_em_23,ok,,170,352,\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },1,1,1,1,169.352700
18_em_24,ok,,149,278,\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },1,1,1,1,161.969200
18_em_2,ok,,122,897,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0,c _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + ( z y _ { 2 } ^ { ( n - 1 ) } + \ldots + ( n y _ { n } ( n - 1 ),0,0,0,0,181.811900
18_em_3,ok,,84,375,"q _ { 1 } , q _ { 2 } , \ldots , q _ { m }","q _ { 1 } , q _ { 2 } , \ldots , q _ { m }","q _ { 1 } , q _ { 2 } , \ldots , q _ { m }",1,1,1,1,126.372200
18_em_4,ok,,87,129,e ^ { - n },e ^ { - n },e ^ { - n },1,1,1,1,110.764200
18_em_5,ok,,83,194,\int g = \lim _ { n \rightarrow \infty } \int g _ { n },\int g = \lim \limits _ { n \rightarrow \infty } \int g _ { n },\int g = \lim _ { n \rightarrow \infty } \int g z,0,0,0,0,117.332500
18_em_6,ok,,79,261,g ( b ) - g ( a ) = b - a,g ( b ) - g ( a ) = b - a,g ( 0 ) - g ( a ) = b - a,0,0,0,0,114.894300
